,26-Jul-2021
The Nifty witnessed an intraday movement of about 96.35 points.The closing index was 0.2 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 61528.46
, Traded Quantity (in Lakhs), 30087.53
, Number of Trades, 22351276
, Total Market Capitalisation (Rs. Crores), 23327563.15

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     15856.05,     15849.30,     15893.35,     15797.00,     15824.45,-31.6
,NIFTY50 EQL Wgt,     17846.70,     17848.20,     17903.85,     17801.85,     17848.05,1.35
,NIFTY100 EQL Wgt,     19125.10,     19145.55,     19180.60,     19075.15,     19135.25,10.15
,NIFTY100 LowVol30,     12475.75,     12475.20,     12529.15,     12452.05,     12480.75,5
,NIFTY Alpha 50,     28522.80,     28550.90,     28591.80,     28332.05,     28502.15,-20.65
,NIFTY MIDCAP 150,     10418.50,     10441.40,     10482.75,     10389.60,     10423.15,4.65
,NIFTY SMLCAP 50,      5257.70,      5258.20,      5279.90,      5236.90,      5262.60,4.9
,NIFTY SMLCAP 250,      9026.25,      9043.70,      9099.50,      9018.65,      9059.20,32.95
,NIFTY MIDSML 400,      9914.25,      9935.20,      9981.25,      9898.25,      9928.85,14.6
,NIFTY200 QUALTY30,     13723.50,     13723.30,     13793.50,     13708.10,     13737.95,14.45
,Nifty FinSrv25 50,     16682.55,     16661.25,     16705.80,     16558.35,     16639.15,-43.4
,NIFTY AlphaLowVol,     16141.85,     16141.85,     16212.15,     16115.05,     16159.60,17.75
,Nifty200Momentm30,     18215.20,     18273.00,     18338.80,     18149.85,     18246.95,31.75
,Nifty100ESGSecLdr,      2696.35,      2694.40,      2701.15,      2687.75,      2689.75,-6.6
,Nifty IT,     29894.30,     29886.20,     30139.20,     29859.60,     29940.40,46.1
,Nifty Next 50,     39312.35,     39371.80,     39459.75,     39167.95,     39351.30,38.95
,Nifty Bank,     35034.40,     34947.85,     35138.20,     34669.55,     34949.70,-84.7
,NIFTY MIDCAP 100,     27584.80,     27639.10,     27758.70,     27486.10,     27573.85,-10.95
,Nifty 500,     13687.00,     13692.20,     13731.10,     13648.45,     13675.10,-11.9
,Nifty 100,     16119.10,     16117.25,     16156.20,     16066.15,     16094.20,-24.9
,Nifty Midcap 50,      7574.35,      7592.60,      7614.50,      7537.55,      7549.05,-25.3
,Nifty Realty,       401.05,       401.15,       406.90,       396.20,       397.20,-3.85
,Nifty Infra,      4456.35,      4455.30,      4474.25,      4435.70,      4446.50,-9.85
,Nifty Energy,     19503.80,     19491.50,     19496.55,     19273.45,     19300.10,-203.7
,Nifty FMCG,     36558.65,     36639.15,     36746.50,     36459.05,     36486.75,-71.9
,Nifty MNC,     17755.85,     17773.05,     17819.65,     17688.20,     17779.35,23.5
,Nifty Pharma,     14597.85,     14604.65,     14711.20,     14591.85,     14652.55,54.7
,Nifty PSE,      3597.90,      3597.25,      3614.20,      3580.45,      3589.90,-8
,Nifty PSU Bank,      2428.05,      2428.95,      2429.95,      2405.55,      2408.55,-19.5
,Nifty Serv Sector,     22015.30,     21980.65,     22067.35,     21893.80,     21989.00,-26.3
,India VIX,11.7625,11.7625,12.5400,10.3950,12.4500,0.6875
,Nifty Auto,     10201.35,     10204.65,     10212.65,     10127.15,     10137.95,-63.4
,Nifty Metal,      5353.80,      5402.60,      5421.90,      5350.00,      5387.40,33.6
,Nifty Media,      1754.00,      1760.10,      1786.35,      1755.95,      1759.55,5.55
,NIFTY SMLCAP 100,     10406.95,     10416.10,     10462.25,     10380.75,     10434.75,27.8
,Nifty 200,      8422.70,      8424.05,      8446.30,      8395.25,      8411.00,-11.7
,Nifty Div Opps 50,      3396.20,      3397.05,      3410.55,      3390.65,      3395.90,-.3
,Nifty Commodities,      5303.25,      5320.40,      5328.25,      5283.75,      5307.00,3.75
,Nifty Consumption,      6433.40,      6435.15,      6460.05,      6419.50,      6426.25,-7.15
,Nifty Fin Service,     16611.05,     16574.50,     16632.10,     16462.55,     16574.85,-36.2
,Nifty50 Div Point,        89.87,        89.87,        89.87,        89.87,        89.87,0
,Nifty100 Liq 15,      4086.60,      4087.85,      4096.10,      4060.65,      4072.90,-13.7
,Nifty CPSE,      2040.60,      2039.00,      2055.10,      2031.40,      2042.65,2.05
,Nifty GrowSect 15,      7671.30,      7683.15,      7701.85,      7657.40,      7663.35,-7.95
,Nifty50 PR 2x Lev,      7536.95,      7528.50,      7570.40,      7481.05,      7504.90,-32.05
,Nifty50 PR 1x Inv,       277.75,       277.90,       278.80,       277.15,       278.35,.6
,Nifty50 TR 2x Lev,     10175.30,     10163.90,     10220.45,     10099.85,     10132.05,-43.25
,Nifty50 TR 1x Inv,       239.15,       239.30,       240.05,       238.65,       239.70,.55
,Nifty50 Value 20,      8131.80,      8140.55,      8164.45,      8112.20,      8118.45,-13.35
,Nifty Mid Liq 15,      6388.10,      6386.05,      6422.20,      6314.00,      6339.20,-48.9
,Nifty Pvt Bank,     18287.15,     18281.05,     18386.90,     18137.90,     18270.80,-16.35
,NIFTY100 Qualty30,      3648.80,      3647.80,      3662.85,      3643.90,      3647.70,-1.1
,Nifty GS 8 13Yr,      2261.96,      2262.35,      2262.75,      2262.01,      2262.69,.73
,Nifty GS 10Yr,      2045.98,      2046.33,      2046.64,      2044.08,      2045.00,-.98
,Nifty GS 10Yr Cln,       942.11,       942.11,       942.26,       941.08,       941.50,-.61
,Nifty GS 4 8Yr,      2434.91,      2435.30,      2437.56,      2435.30,      2436.39,1.48
,Nifty GS 11 15Yr,      2419.72,      2420.17,      2422.11,      2420.17,      2420.56,.84
,Nifty GS 15YrPlus,      2582.03,      2582.53,      2590.21,      2582.53,      2588.93,6.9
,Nifty GS Compsite,      2316.27,      2316.67,      2318.83,      2316.67,      2317.72,1.45

,ADVANCES,969
,DECLINES,1062
,UNCHANGED,71

,Total securities that have hit their price bands today,452

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,ZOMATO,EQ,       126.00,       140.65,11.63,3362.03
,BHARATRAS,EQ,     13525.50,                 16271594.45,1205
,BHARATWIRE,BE,        78.00,                  2372657.90,29847
,BHEL,EQ,        62.70,               1317787289.90,20830093
,BIGBLOC,EQ,       105.10,                  1241250.75,11774
,BIL,EQ,       227.85,                  1100198.60,4783
,BILENERGY,BZ,          .65,                   211751.25,324429
,BINDALAGRO,EQ,        27.85,                 10202895.70,359487
,BIOFILCHEM,EQ,        72.00,                  6082606.30,84587
,BIRET,RR,       264.85,                 23314406.00,87800
,BIRLACABLE,BE,       108.45,                  3073593.50,28157
,BIRLACORPN,EQ,      1500.85,                233387467.45,155510
,BIRLAMONEY,EQ,        73.65,                 20952269.60,279740
,BIRLATYRE,EQ,        28.75,                 15460199.20,533271
,BKMINDST,BE,         1.20,                   401440.90,325521
,BLBLIMITED,EQ,        10.95,                  4213085.65,364313
,BLISSGVS,EQ,       110.65,                 24163729.35,217794
,BLKASHYAP,EQ,        24.30,                  9347042.85,390016
,BLS,EQ,       133.35,                 38990288.40,293123
,BLUECOAST,BE,         6.45,                       12.60,2
,BLUEDART,EQ,      5681.60,                 66193438.30,11657
,BLUESTARCO,EQ,       845.10,                 28921839.80,34202
,BODALCHEM,EQ,       118.80,                121592446.60,1015870
,BOHRA,SM,         4.00,                    16000.00,4000
,BOMDYEING,EQ,       100.85,                561807425.10,5481782
,BOROLTD,EQ,       217.25,                 25044209.05,113608
,BORORENEW,BE,       302.00,                129062358.80,433418
,BPL,EQ,        41.60,                 20977316.15,491105
,BRFL,BE,         9.65,                  1571002.35,162262
,BRIGADE,EQ,       321.10,                 85091477.65,266965
,BRIGHT,SM,         6.05,                  2564100.00,426000
,BRITANNIA,N3,        29.29,                 47296718.13,1615472
,BRITANNIA,N2,        32.76,                   510223.01,15573
,BRNL,EQ,        35.90,                  2453692.00,67234
,BROOKS,EQ,        89.20,                  3812365.90,42466
,BSE,EQ,      1259.20,               3274479450.30,2661678
,BSHSL,EQ,       321.95,                  4128000.00,12607
,BSL,EQ,        60.45,                  1506115.85,24772
,BSLGOLDETF,EQ,      4372.15,                   655785.85,150
,BSLNIFTY,EQ,       174.88,                  1049289.72,5812
,BSOFT,EQ,       400.65,               1611907126.70,4000712
,BURGERKING,EQ,       176.20,                350536560.00,1985796
,BURNPUR,BE,         2.25,                   350928.85,162311
,BUTTERFLY,BE,       744.50,                 53773605.35,72551
,BVCL,BE,        23.30,                   161904.90,7103
,BYKE,EQ,        30.05,                  2791621.55,93066
,CALSOFT,BE,        12.35,                   394409.60,31936
,CAMLINFINE,EQ,       199.85,                138981806.05,687265
,CAMS,EQ,      3194.50,                848152546.40,262944
,CANBK,EQ,       146.65,                751308375.60,5127227
,CANDC,BZ,         3.60,                   154119.05,42325
,CANFINHOME,EQ,       558.90,               1552844172.90,2785377
,CANTABIL,EQ,       414.10,                  5791734.65,13844
,CAPACITE,EQ,       227.30,                 45066030.55,194809
,CAPLIPOINT,EQ,       944.00,               6858335975.50,7539852
,CAPTRUST,EQ,       106.20,                  3387893.55,31442
,CARBORUNIV,EQ,       666.90,                354441467.55,520503
,CAREERP,EQ,       159.70,                 70211848.40,443978
,CARERATING,EQ,       715.80,                 87653954.05,122396
,CASTROLIND,EQ,       143.45,                111830807.00,774142
,CCCL,BE,          .75,                   265083.75,353445
,CCHHL,BE,         8.70,                   946283.95,109343
,CCL,EQ,       415.00,                365090966.50,869709
,CDSL,BE,      1399.80,               1241336256.90,927878
,CEATLTD,EQ,      1353.90,                204090178.35,149470
,CEBBCO,BE,        34.65,                  3089974.10,90126
,CELEBRITY,EQ,        11.30,                  5884467.65,521611
,CENTENKA,EQ,       436.20,                 18156669.15,41631
,CENTEXT,EQ,         9.35,                  1383453.40,147297
,CENTRALBK,EQ,        24.90,                165607067.00,6606693
,CENTRUM,EQ,        48.00,                141997536.70,2910271
,CENTUM,EQ,       531.70,                 40214357.20,76082
,CENTURYPLY,EQ,       436.25,                154653945.20,355645
,CENTURYTEX,EQ,       703.45,                166316114.70,235414
,CERA,EQ,      4363.30,                 51472060.60,11759
,CEREBRAINT,EQ,        55.50,                 40940930.70,732565
,CESC,EQ,       837.75,                314478010.50,379013
,CGCL,EQ,       521.00,                 20386028.35,38985
,CGPOWER,BE,        76.40,                 40646815.80,527861
,CHALET,EQ,       182.70,                164929459.55,915896
,CHAMBLFERT,EQ,       316.10,               1126132699.75,3577745
,CHEMBOND,EQ,       231.85,                 10294462.60,43591
,CHEMCON,EQ,       510.80,                307050834.85,601371
,CHEMFAB,EQ,       184.05,                  6841508.10,37197
,CHENNPETRO,EQ,       122.05,                 53583525.40,434522
,CHOLAFIN,EQ,       491.70,                675597669.95,1356309
,CHOLAHLDNG,EQ,       652.50,                154571210.35,232429
,CHROMATIC,BZ,         1.15,                   297123.85,252655
,CIGNITITEC,EQ,       580.95,                125473862.05,213914
,CINELINE,EQ,        49.70,                 11490063.85,230325
,CINEVISTA,BE,        15.25,                   289662.90,18746
,CLEAN,EQ,      1652.50,               1241084568.00,747225
,CLEDUCATE,EQ,       138.75,                  1913910.10,13844
,CLNINDIA,EQ,       592.80,                 33499609.55,56333
,CLSEL,EQ,       149.25,                 18478892.35,124119
,CMICABLES,EQ,        55.35,                  8464309.50,150286
,COCHINSHIP,EQ,       371.75,                 87001505.45,232939
,COFFEEDAY,EQ,        41.75,                 32858627.10,772881
,COFORGE,EQ,      4717.55,               1217887283.35,257317
,COMPINFO,EQ,        29.15,                  8327839.50,283895
,COMPUSOFT,EQ,        14.25,                  2607596.90,181131
,CONFIPET,EQ,        61.25,                 64870891.95,1040753
,CONSOFINVT,EQ,       127.55,                  2174713.95,16949
,CONTI,SM,         6.05,                    83824.95,13332
,CONTROLPR,EQ,       405.55,                162390130.60,408715
,CORALFINAC,EQ,        51.50,                  1977409.60,38121
,CORDSCABLE,EQ,        62.70,                  3501450.60,54996
,COROMANDEL,EQ,       914.20,               1980167291.85,2195229
,COSMOFILMS,EQ,      1227.70,                184680676.75,151975
,COUNCODOS,EQ,         2.95,                   440751.45,152963
,COX&KINGS,BZ,         1.85,                   731867.75,395482
,CPSEETF,EQ,        25.98,                 78873440.76,3031432
,CRAFTSMAN,EQ,      1993.75,                139629799.25,69080
,CREATIVE,BE,       224.05,                  9986014.65,45536
,CREATIVEYE,EQ,         3.25,                    45984.25,14149
,CREDITACC,EQ,       660.75,                227841348.80,341855
,CREST,BE,       125.10,                   450065.45,3558
,CRISIL,EQ,      3019.45,                269556806.05,89209
,CROMPTON,EQ,       468.45,                549451408.00,1176440
,CSBBANK,EQ,       352.20,                256019365.10,730693
,CTE,EQ,        73.70,                 51578641.05,658759
,CUB,EQ,       153.70,                155950705.80,1008850
,CUBEXTUB,EQ,        28.10,                   336471.30,11989
,CUMMINSIND,EQ,       851.90,                276357411.65,321947
,CUPID,EQ,       254.90,                 48650557.35,190498
,CYBERMEDIA,BE,        11.90,                    56380.75,4875
,CYBERTECH,EQ,       189.10,                 76467579.25,401284
,CYIENT,EQ,       984.05,                536767520.75,539754
,DAAWAT,EQ,        78.75,                 84265397.80,1057398
,DALALSTCOM,BE,         1.50,                   106320.00,70880
,DALBHARAT,EQ,      2226.95,                576997727.50,249209
,DALMIASUG,EQ,       461.45,                 93592805.65,202642
,DAMODARIND,BE,        49.40,                  2322406.45,46544
,DANGEE,EQ,       185.55,                   677780.55,3670
,DATAMATICS,EQ,       275.25,                133179821.45,473037
,DBCORP,EQ,        94.15,                263188434.25,2833138
,DBL,EQ,       561.15,                143012743.40,252217
,DBREALTY,EQ,        27.35,                 12189863.75,446564
,DBSTOCKBRO,EQ,        14.20,                    66735.10,4673
,DCAL,EQ,       212.70,                297526817.20,1395795
,DCBBANK,EQ,       103.00,                 73857173.00,712853
,DCM,EQ,        45.50,                  3072521.10,67736
,DCMFINSERV,BE,         3.15,                    34485.30,10912
,DCMNVL,EQ,       180.80,                 32442019.75,180048
,DCMSHRIRAM,EQ,       955.90,                220024772.35,227162
,DCW,EQ,        41.05,                211420015.35,5205695
,DECCANCE,EQ,       730.65,                 71350874.85,97900
,DEEPAKFERT,BE,       409.05,                 32200831.55,78636
,DEEPAKNTR,EQ,      1921.80,               1599353047.85,825468
,DEEPENR,BE,        51.60,                  5693907.15,112092
,DEEPINDS,EQ,        98.90,                  7272077.45,73183
,DELTACORP,EQ,       178.70,                187532129.50,1041877
,DELTAMAGNT,EQ,        54.10,                   247666.55,4580
,DEN,EQ,        51.85,                 93000254.45,1781240
,DENORA,EQ,       356.90,                  5678300.20,15789
,DEVIT,SM,       110.40,                  2940600.00,25500
,DFMFOODS,EQ,       395.25,                 36694937.25,92332
,DGCONTENT,BE,        12.05,                   430445.05,35563
,DHAMPURSUG,EQ,       340.55,                173063488.20,499312
,DHANBANK,EQ,        17.60,                 26748118.60,1499845
,DHANI,EQ,       219.20,                348148545.60,1606964
,DHANILOANS,N7,      1014.00,                   169326.00,167
,DHANILOANS,N8,      1225.00,                   183500.00,150
,DHANILOANS,N3,      1014.00,                   103419.00,102
,DHANIPP,E1,       100.90,                 11371851.60,112707
,DHANUKA,EQ,      1001.45,                 49355113.40,49093
,DHARSUGAR,BE,        23.50,                  2629197.95,112814
,DHFL,NC,       400.00,                   659523.66,1648
,DHFL,NN,       409.00,                   113389.50,281
,DHFL,NA,       400.00,                    32518.00,82
,DHFL,N4,       385.00,                     7700.00,20
,DHFL,NX,       397.59,                  1696145.05,4293
,DHFL,NR,       364.00,                     1820.00,5
,DHFL,NP,       400.18,                  2356351.18,5917
,DHFL,N6,       393.51,                   243745.10,627
,DHFL,NS,       394.81,                   691530.25,1753
,DHFL,Y1,       401.80,                     9664.20,24
,DHUNINV,EQ,       669.30,                  4941752.55,7392
,DIAMONDYD,EQ,       725.30,                134764464.70,178152
,DIAPOWER,BZ,          .85,                    38589.00,42985
,DICIND,EQ,       497.45,                 17859644.90,35888
,DIGISPICE,BE,        66.70,                 14525190.10,217877
,DISHTV,EQ,        14.30,                151160871.10,10629702
,DIXON,EQ,      4530.50,                366843285.65,80891
,DLINKINDIA,EQ,       153.60,                 75477257.15,484632
,DNAMEDIA,EQ,         2.55,                   339623.80,132494
,DODLA,EQ,       587.20,                136497717.55,230717
,DOLAT,EQ,       119.70,                176372057.20,1426649
,DOLLAR,EQ,       318.65,                 55250793.80,172371
,DONEAR,EQ,        53.40,                  4832766.40,89599
,DPABHUSHAN,EQ,       181.05,                 21666237.00,119416
,DPSCLTD,EQ,        16.60,                   606096.20,36333
,DPWIRES,EQ,       185.65,                  4018833.95,21847
,DQE,BZ,          .90,                   165119.40,180075
,DRCSYSTEMS,EQ,       278.80,                   476466.95,1724
,DREDGECORP,EQ,       382.90,                 15674978.95,40619
,DSML,SM,        13.10,                  1337100.00,108000
,DSSL,EQ,       152.40,                  4914987.55,31623
,DTIL,EQ,       533.60,                 12173100.50,22849
,DUCON,BE,        16.00,                  1590588.90,99519
,DVL,EQ,       306.85,                 17788666.15,57714
,DWARKESH,EQ,        75.90,                165954364.40,2153048
,DYNAMATECH,EQ,      1624.25,                 24220549.60,14856
,DYNPRO,EQ,       502.80,                 10469445.90,20649
,EASEMYTRIP,EQ,       414.95,                474125362.00,1140055
,EASTSILK,EQ,         3.60,                   299218.45,83602
,EASUNREYRL,BZ,         3.05,                    29694.80,9736
,EBANK,EQ,      3650.00,                     3650.00,1
,EBBETF0423,EQ,      1140.98,                 13973970.69,12255
,EBBETF0425,EQ,      1048.42,                  6216348.46,5924
,EBBETF0430,EQ,      1157.35,                 41555533.76,35891
,EBBETF0431,EQ,      1042.16,                  6454098.05,6194
,EBIXFOREX,EQ,       627.00,                  2787182.30,4469
,ECLERX,BE,      2108.10,                 45371216.55,21561
,ECLFINANCE,NN,      1275.00,                    63750.00,50
,ECLFINANCE,NM,      1041.17,                   136146.80,126
,ECLFINANCE,NI,       970.00,                    16470.00,17
,ECLFINANCE,NJ,       943.10,                   214324.77,225
,ECLFINANCE,NQ,      1227.00,                    61350.00,50
,ECLFINANCE,NK,       894.79,                  1671396.24,1866
,ECLFINANCE,NG,       984.43,                    62995.00,64
,ECLFINANCE,NO,       998.00,                   633028.70,634
,ECLFINANCE,NH,      1230.00,                   116490.00,98
,ECLFINANCE,NP,      1016.00,                   640966.71,629
,ECLFINANCE,NS,      1050.00,                   418932.00,399
,ECLFINANCE,NR,      1001.99,                   502388.00,502
,EDELWEISS,EQ,        90.15,                196299019.10,2160133
,EDUCOMP,BZ,         3.90,                   306246.50,78884
,EHFLNCD,N5,       980.57,                    83349.00,85
,EHFLNCD,N6,       942.00,                    30150.60,32
,EIDPARRY,EQ,       425.95,                334283410.10,790445
,EIHAHOTELS,EQ,       340.25,                  5631025.00,16455
,EIHOTEL,EQ,       112.85,                 31381050.05,275592
,EIMCOELECO,EQ,       473.25,                  5094797.45,10656
,EKC,BE,        93.35,                  4636091.55,49675
,ELECON,EQ,       141.65,                143922639.45,1010092
,ELECTCAST,EQ,        37.25,                 15232753.40,407065
,ELECTHERM,EQ,       151.35,                  3115314.70,20483
,ELGIEQUIP,EQ,       212.15,                 42852598.10,201538
,ELGIRUBCO,EQ,        39.40,                  3393982.70,85439
,EMAMILTD,EQ,       559.60,                283542456.20,506443
,EMAMIPAP,EQ,       159.50,                 12921655.70,80771
,EMAMIREAL,EQ,        77.55,                 11473992.35,143242
,EMBASSY,RR,       352.84,                 37247564.00,105600
,EMCO,BZ,         2.55,                    24295.00,9494
,EMKAY,EQ,       120.10,                 13398190.45,109867
,EMMBI,EQ,       119.65,                 45495342.80,370579
,ENDURANCE,EQ,      1656.00,                146059709.45,87189
,ENERGYDEV,EQ,        11.85,                   714319.00,60260
,ENGINERSIN,EQ,        75.80,                158131462.85,2087942
,ENIL,EQ,       192.95,                 20654314.80,106080
,EPL,EQ,       242.90,                 36580733.10,149508
,EQ30,EQ,       388.74,                    76502.96,197
,EQUITAS,EQ,       124.40,                253319520.25,2035335
,EQUITASBNK,EQ,        63.10,                 77434873.45,1208116
,ERFLNCDI,N5,       905.00,                   430071.40,475
,ERIS,EQ,       755.60,                 62572042.55,82630
,EROSMEDIA,EQ,        24.60,                 16554690.30,670945
,ESABINDIA,EQ,      1876.25,                  4476889.35,2372
,ESCORTS,EQ,      1154.30,                464079479.65,400400
,ESSARSHPNG,EQ,        10.80,                   688459.90,63156
,ESTER,EQ,       145.45,                 32136476.15,219554
,EUROMULTI,BZ,         1.45,                     2385.25,1645
,EUROTEXIND,EQ,        10.65,                     1437.75,135
,EVEREADY,EQ,       333.55,                500253747.95,1511355
,EVERESTIND,EQ,       474.55,                325875260.30,692517
,EXCEL,BE,         3.70,                   442044.50,120623
,EXCELINDUS,EQ,      1145.50,                 17657487.95,15380
,EXIDEIND,EQ,       178.20,                233655023.45,1308150
,EXPLEOSOL,BE,      1129.60,                 24534711.55,21806
,FACT,EQ,       137.00,                 50613116.65,368879
,FAIRCHEMOR,EQ,      1691.65,                141479036.50,81564
,FCL,EQ,       108.10,                375133649.90,3482829
,FCONSUMER,EQ,         8.70,                 38211231.80,4344612
,FCSSOFT,BE,         2.20,                  5730575.40,2604807
,FDC,EQ,       376.10,                 48716024.25,128006
,FEDERALBNK,EQ,        87.25,               2506294686.05,28994949
,FEL,EQ,        10.70,                  6334431.60,585635
,FELDVR,EQ,        13.85,                  1065088.45,77041
,FIEMIND,EQ,       782.20,                 34645926.85,44250
,FILATEX,EQ,        99.95,                124937103.65,1227215
,FILDF2GP,MF,         1.33,                      504.30,379
,FINCABLES,EQ,       517.10,                139151619.85,266213
,FINEORG,EQ,      2974.45,                 54682141.75,18291
,FINPIPE,EQ,       176.15,                101163159.25,573521
,FLEXITUFF,EQ,        23.45,                   137595.95,5919
,FLFL,EQ,        71.20,                  4368181.55,61028
,FLUOROCHEM,EQ,      1691.85,                538840709.45,317692
,FMGOETZE,EQ,       302.20,                 21440360.90,70599
,FMNL,EQ,        15.70,                  1578344.55,98955
,FOCUS,SM,        45.20,                   410250.00,9000
,FORCEMOT,EQ,      1538.25,                829334763.70,538129
,FORTIS,EQ,       246.65,                892150099.60,3634292
,FOSECOIND,EQ,      1642.45,                 12754322.20,7719
,FRETAIL,EQ,        62.25,                 57218534.85,912857
,FSC,EQ,        86.60,                  3248171.25,37364
,FSL,EQ,       215.05,                751119532.35,3465992
,GABRIEL,EQ,       127.25,                 63641020.35,499091
,GAEL,EQ,       187.35,                169277951.80,893549
,GAL,EQ,         2.60,                  4075689.05,1583489
,GALAXYSURF,EQ,      3073.65,                 55318865.80,17912
,GALLANTT,EQ,        82.05,                  6469191.55,78846
,GALLISPAT,EQ,        55.05,                  8966702.70,160090
,GAMMNINFRA,BE,         2.15,                  6927480.25,3210733
,GANDHITUBE,EQ,       475.60,                  7452097.10,15662
,GANECOS,EQ,       503.85,                  4437644.90,8788
,GANESHHOUC,EQ,       113.20,                  3668742.25,32697
,GANGAFORGE,EQ,       110.25,                  7314174.75,66507
,GANGESSECU,EQ,        95.85,                  3997604.55,41627
,GANGOTRI,BE,         1.20,                    95227.95,82112
,GARFIBRES,EQ,      3478.80,                 64173139.95,18273
,GATI,EQ,       166.00,                182170970.25,1088341
,GAYAHWS,BE,         1.10,                     2356.20,2142
,GAYAPROJ,EQ,        43.90,                220200694.00,4958285
,GDL,BE,       282.65,                 30766889.75,109789
,GEECEE,EQ,       180.05,                  3364574.60,18522
,GEEKAYWIRE,EQ,       107.35,                 49105969.25,459955
,GENCON,EQ,        48.40,                  4049350.35,81798
,GENESYS,EQ,       157.85,                  3515912.15,22006
,GENUSPAPER,BE,        11.25,                  3997577.75,365641
,GENUSPOWER,EQ,        71.50,                 66669876.65,937079
,GEOJITFSL,EQ,        92.40,                 56320696.70,606794
,GEPIL,EQ,       334.30,                108150757.30,322344
,GESHIP,EQ,       370.15,                168250415.90,461695
,GET&D,EQ,       136.00,                 14134758.70,104156
,GFLLIMITED,EQ,        70.80,                 24896676.00,351880
,GFSTEELS,EQ,         3.75,                      866.25,231
,GHCL,EQ,       313.80,                186850590.45,595310
,GICHSGFIN,EQ,       177.05,                 71408293.60,403050
,GILLANDERS,BE,        56.70,                    49544.10,892
,GILLETTE,EQ,      6088.05,                 41106956.50,6705
,GINNIFILA,EQ,        38.80,                 11366180.95,292337
,GIPCL,EQ,       101.90,                459187528.00,4435482
,GKWLIMITED,EQ,       698.40,                  1081551.70,1517
,GLAND,EQ,      4019.25,                814007974.50,202117
,GLAXO,EQ,      1728.40,                443844945.25,258069
,GLENMARK,EQ,       626.40,               1902712930.80,3009500
,GLFL,EQ,         2.85,                     6061.95,2127
,GLOBAL,EQ,        47.75,                   223241.10,4627
,GLOBALVECT,EQ,        59.40,                  4221307.20,71131
,GLOBE,BE,       183.85,                 16358634.95,89385
,GLOBUSSPR,BE,       739.95,                128692637.85,173804
,GMBREW,EQ,       608.05,                 46158719.90,76226
,GMDCLTD,EQ,        65.85,                 30406511.60,458677
,GMMPFAUDLR,EQ,      4571.55,                 80059349.00,17502
,GMRINFRA,EQ,        28.25,                824244688.00,29097889
,GNA,EQ,       550.30,                457946030.40,818141
,GNFC,EQ,       372.80,                276004659.85,740756
,GOACARBON,EQ,       419.45,                 20665791.60,49862
,GOCLCORP,EQ,       265.05,                  7120908.45,26625
,GODFRYPHLP,EQ,      1062.90,                111182987.60,104453
,GODHA,BE,        40.70,                    62868.65,1535
,GODREJAGRO,EQ,       654.85,                200225702.90,307900
,GODREJIND,EQ,       547.70,                 77729688.80,141234
,GODREJPROP,EQ,      1541.10,                698663114.95,448253
,GOENKA,BZ,         1.30,                   313153.20,245582
,GOKEX,EQ,       196.40,                 86980846.20,449152
,GOKUL,EQ,        30.50,                  3447172.15,112668
,GOKULAGRO,EQ,        41.05,                  8399732.75,201589
,GOLDBEES,EQ,        41.40,                108626508.90,2621876
,GOLDENTOBC,BE,        47.25,                    20608.25,438
,GOLDIAM,EQ,       597.55,                 56501231.95,95292
,GOLDSHARE,EQ,        41.50,                  2900344.65,69931
,GOLDTECH,EQ,        13.95,                  1291992.85,92785
,GOODLUCK,EQ,       236.75,                556148111.40,2465274
,GOODYEAR,EQ,      1269.25,                 52126995.80,41106
,GPIL,BE,      1669.70,                110756872.45,66362
,GPPL,EQ,       106.80,                 31663310.70,296683
,GPTINFRA,EQ,        90.00,                 23280986.20,258832
,GRANULES,EQ,       377.45,                990457755.30,2600311
,GRAPHITE,EQ,       657.65,                308839613.85,467904
,GRAVITA,EQ,       179.00,                 38913093.65,217019
,GREAVESCOT,EQ,       167.20,                431962360.55,2549078
,GREENLAM,EQ,      1356.00,                  7443960.25,5451
,GREENPANEL,BE,       240.65,                 29910337.05,124177
,GREENPLY,EQ,       192.50,                 21563837.65,111234
,GREENPOWER,EQ,         3.25,                  9174509.40,2841632
,GRINDWELL,EQ,      1285.90,                156496577.60,122795
,GRINFRA,EQ,      1706.80,                323601127.70,189177
,GROBTEA,EQ,      1248.20,                   800176.60,646
,GRPLTD,EQ,       944.20,                   681021.10,725
,GRSE,EQ,       209.80,                279913708.20,1344820
,GSCLCEMENT,EQ,        52.25,                 33463863.15,650364
,GSFC,EQ,       119.20,                763545357.95,6325225
,GSPL,EQ,       340.55,                469751020.00,1357924
,GSS,EQ,        79.40,                 37701300.35,468946
,GTL,BE,        24.40,                 23192983.75,946307
,GTLINFRA,BE,         3.75,                  5730652.50,1528174
,GTNTEX,EQ,        10.25,                    96070.00,9390
,GTPL,EQ,       186.20,                 19739648.75,106324
,GUFICBIO,EQ,       184.25,                 24516350.50,133342
,GUJALKALI,EQ,       477.10,                568076652.15,1186804
,GUJAPOLLO,EQ,       236.05,                  3256550.55,13650
,GUJGASLTD,EQ,       715.30,               1008211033.25,1403201
,GUJRAFFIA,BE,        40.85,                   123244.45,3017
