,10-Mar-2021
The Nifty witnessed an intraday movement of about 117.6 points.The closing index was 0.51 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 54391.69
, Traded Quantity (in Lakhs), 25450.88
, Number of Trades, 17560913
, Total Market Capitalisation (Rs. Crores), 20808441.96

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     15098.40,     15202.15,     15218.45,     15100.85,     15174.80,76.4
,NIFTY50 EQL Wgt,     16326.50,     16452.05,     16465.45,     16331.10,     16428.90,102.4
,NIFTY100 EQL Wgt,     17245.80,     17366.35,     17383.25,     17243.60,     17338.20,92.4
,NIFTY100 LowVol30,     11373.80,     11458.05,     11459.40,     11390.05,     11431.60,57.8
,NIFTY Alpha 50,     22215.10,     22383.10,     22623.55,     22344.10,     22599.15,384.05
,NIFTY MIDCAP 150,      9100.55,      9171.35,      9195.45,      9124.80,      9169.25,68.7
,NIFTY SMLCAP 50,      4157.10,      4192.65,      4237.50,      4178.55,      4231.80,74.7
,NIFTY SMLCAP 250,      7112.40,      7165.15,      7191.45,      7139.10,      7187.95,75.55
,NIFTY MIDSML 400,      8390.80,      8455.10,      8476.25,      8416.40,      8462.20,71.4
,NIFTY200 QUALTY30,     12346.30,     12424.10,     12472.45,     12401.40,     12457.20,110.9
,Nifty FinSrv25 50,     16328.70,     16435.15,     16454.45,     16277.30,     16369.50,40.8
,NIFTY AlphaLowVol,     13925.00,     14013.20,     14074.40,     13986.75,     14052.95,127.95
,Nifty200Momentm30,     14597.20,     14719.60,     14825.25,     14674.05,     14802.60,205.4
,Nifty100ESGSecLdr,      2553.95,      2569.90,      2573.65,      2557.20,      2568.40,14.45
,Nifty IT,     25582.35,     25862.05,     26136.55,     25782.30,     26010.10,427.75
,Nifty Next 50,     34927.50,     35143.95,     35223.60,     34947.75,     35138.00,210.5
,Nifty Bank,     35865.65,     36112.25,     36176.90,     35764.35,     35938.30,72.65
,NIFTY MIDCAP 100,     24024.25,     24220.20,     24287.20,     24075.40,     24220.10,195.85
,Nifty 500,     12617.20,     12705.10,     12722.60,     12627.80,     12691.35,74.15
,Nifty 100,     15206.00,     15309.10,     15327.00,     15209.65,     15284.85,78.85
,Nifty Midcap 50,      6931.65,      6992.75,      7019.80,      6945.65,      6996.95,65.3
,Nifty Realty,       350.10,       353.85,       356.65,       350.85,       352.25,2.15
,Nifty Infra,      4247.50,      4278.65,      4281.30,      4234.40,      4256.30,8.8
,Nifty Energy,     19385.15,     19544.25,     19548.45,     19238.70,     19331.25,-53.9
,Nifty FMCG,     33215.85,     33393.05,     33424.50,     33220.00,     33402.75,186.9
,Nifty MNC,     16199.15,     16276.75,     16309.90,     16233.45,     16276.25,77.1
,Nifty Pharma,     12133.85,     12218.45,     12335.90,     12180.15,     12313.25,179.4
,Nifty PSE,      3277.60,      3308.70,      3309.15,      3250.30,      3270.50,-7.1
,Nifty PSU Bank,      2355.55,      2379.65,      2389.60,      2342.90,      2351.90,-3.65
,Nifty Serv Sector,     21308.85,     21452.80,     21491.60,     21326.30,     21416.55,107.7
,India VIX,22.4950,22.4950,22.4950,19.3150,20.7475,-1.7475
,Nifty Auto,     10464.25,     10525.75,     10613.60,     10511.15,     10559.30,95.05
,Nifty Metal,      3802.70,      3838.00,      3886.25,      3786.60,      3873.65,70.95
,Nifty Media,      1724.75,      1735.00,      1745.80,      1724.90,      1730.10,5.35
,NIFTY SMLCAP 100,      8323.90,      8392.20,      8446.05,      8362.60,      8439.35,115.45
,Nifty 200,      7865.90,      7920.60,      7930.90,      7869.65,      7909.55,43.65
,Nifty Div Opps 50,      3063.20,      3087.05,      3087.90,      3065.10,      3080.95,17.75
,Nifty Commodities,      4463.95,      4500.30,      4501.10,      4448.80,      4491.80,27.85
,Nifty Consumption,      5938.70,      5966.70,      5982.55,      5953.55,      5975.85,37.15
,Nifty Fin Service,     16649.75,     16745.45,     16772.55,     16610.35,     16689.70,39.95
,Nifty50 Div Point,       110.23,       110.23,       110.23,       110.23,       110.23,0
,Nifty100 Liq 15,      3790.20,      3815.10,      3821.25,      3786.25,      3810.20,20
,Nifty CPSE,      1892.15,      1905.35,      1906.20,      1870.20,      1881.90,-10.25
,Nifty GrowSect 15,      7252.10,      7287.95,      7299.40,      7247.10,      7268.95,16.85
,Nifty50 PR 2x Lev,      6972.35,      7067.50,      7081.00,      6974.55,      7042.25,69.9
,Nifty50 PR 1x Inv,       290.30,       288.35,       290.30,       288.05,       288.90,-1.4
,Nifty50 TR 2x Lev,      9297.95,      9424.85,      9442.90,      9300.95,      9391.20,93.25
,Nifty50 TR 1x Inv,       251.50,       249.80,       251.50,       249.55,       250.25,-1.25
,Nifty50 Value 20,      7382.15,      7445.25,      7466.25,      7410.00,      7447.70,65.55
,Nifty Mid Liq 15,      5841.50,      5892.70,      5925.55,      5873.75,      5904.10,62.6
,Nifty Pvt Bank,     19192.50,     19328.20,     19371.40,     19154.15,     19250.75,58.25
,NIFTY100 Qualty30,      3366.25,      3388.20,      3397.30,      3379.85,      3393.65,27.4
,Nifty GS 8 13Yr,      2201.44,      2201.82,      2202.88,      2199.88,      2199.88,-1.56
,Nifty GS 10Yr,      2003.01,      2003.34,      2005.31,      1997.22,      1998.03,-4.98
,Nifty GS 10Yr Cln,       942.79,       942.79,       943.73,       939.86,       940.24,-2.55
,Nifty GS 4 8Yr,      2355.59,      2355.95,      2357.38,      2354.07,      2354.48,-1.11
,Nifty GS 11 15Yr,      2352.46,      2352.89,      2354.19,      2350.03,      2350.26,-2.2
,Nifty GS 15YrPlus,      2606.90,      2607.39,      2607.39,      2603.63,      2605.34,-1.56
,Nifty GS Compsite,      2247.98,      2248.36,      2249.53,      2246.27,      2246.31,-1.67

,ADVANCES,1080
,DECLINES,851
,UNCHANGED,101

,Total securities that have hit their price bands today,321

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,TATAMOTORS,EQ,       315.20,       321.45,1.98,1883.22
,BOMDYEING,EQ,        81.85,                263160202.00,3216474
,BOROLTD,EQ,       184.35,                 31302897.85,168372
,BORORENEW,EQ,       274.10,                207016180.00,758491
,BPL,EQ,        26.65,                  3139725.15,116906
,BRFL,EQ,         8.05,                  2209045.20,273038
,BRIGADE,EQ,       290.00,                 66136904.15,228295
,BRIGHT,SM,        13.20,                   118800.00,9000
,BRITANNIA,N2,        32.15,                   110626.14,3443
,BRNL,EQ,        33.00,                  1178359.65,35588
,BROOKS,EQ,        57.35,                   836504.35,14472
,BSE,EQ,       586.55,                 83038781.50,141222
,BSELINFRA,EQ,         1.00,                    18937.00,18937
,BSHSL,BE,       135.20,                    68494.30,499
,BSL,EQ,        37.20,                  1778829.90,46739
,BSLGOLDETF,EQ,      4101.60,                  2289445.10,558
,BSLNIFTY,EQ,       166.66,                   170641.38,1024
,BSOFT,EQ,       240.45,                528119305.00,2194525
,BURGERKING,EQ,       140.15,                149581204.30,1065217
,BURNPUR,BE,         2.70,                   151572.15,56059
,BUTTERFLY,EQ,       572.25,                 23156876.95,40819
,BVCL,BE,        18.90,                    43694.45,2322
,BYKE,EQ,        23.05,                  1476861.15,63786
,CALSOFT,EQ,         9.00,                   192307.60,21467
,CAMLINFINE,EQ,       144.30,                220243635.95,1519162
,CAMS,EQ,      1848.05,                 62967817.40,34000
,CANBK,EQ,       161.20,               1585280966.20,9826429
,CANDC,BZ,         4.90,                    91008.10,18418
,CANFINHOME,EQ,       562.10,               1878525777.45,3397677
,CANTABIL,EQ,       375.60,                 39228499.30,103861
,CAPACITE,EQ,       201.25,                 11461988.75,56937
,CAPLIPOINT,EQ,       461.75,                 30321868.15,66098
,CAPTRUST,EQ,       143.70,                 63788668.85,459024
,CARBORUNIV,EQ,       494.75,                 44103603.60,89081
,CAREERP,EQ,       143.20,                  3822068.60,26833
,CARERATING,EQ,       459.00,                 33161870.90,72040
,CASTEXTECH,BE,          .35,                    46984.80,138557
,CASTROLIND,EQ,       134.50,                122939953.85,911705
,CCCL,BE,          .55,                    70005.10,127282
,CCHHL,EQ,         4.85,                   180558.50,37467
,CCL,EQ,       254.05,                 40713561.20,158119
,CDSL,EQ,       589.85,                222540600.60,377183
,CEATLTD,EQ,      1573.30,                121815057.20,77418
,CEBBCO,BE,        17.50,                  1582049.20,91071
,CELEBRITY,BE,         6.70,                   310037.15,45763
,CENTENKA,EQ,       261.85,                 31188177.50,119356
,CENTEXT,EQ,         4.60,                   242548.85,52680
,CENTRALBK,EQ,        18.70,                241287277.90,12776811
,CENTRUM,EQ,        28.15,                142244445.95,5008155
,CENTUM,EQ,       443.40,                  1467962.35,3317
,CENTURYPLY,EQ,       320.05,                 46409701.75,146087
,CENTURYTEX,EQ,       512.25,                275398552.95,548535
,CERA,EQ,      3961.50,                 29526906.80,7367
,CEREBRAINT,EQ,        53.05,                 62958721.25,1170093
,CESC,EQ,       628.95,                135782587.20,214961
,CGCL,EQ,       346.35,                 19471002.90,56047
,CGPOWER,EQ,        61.50,                136494947.25,2218263
,CHALET,EQ,       176.70,                 36326937.05,202856
,CHAMBLFERT,EQ,       234.55,                373474941.25,1585092
,CHEMBOND,EQ,       205.95,                 72829214.50,347523
,CHEMCON,EQ,       437.00,                 57034522.90,129682
,CHEMFAB,EQ,       129.15,                   289469.95,2249
,CHENNPETRO,EQ,       114.30,                 92798588.60,808550
,CHOLAFIN,EQ,       539.40,               2738891085.65,5035581
,CHOLAHLDNG,EQ,       591.50,                 42964349.20,71732
,CIGNITITEC,EQ,       339.00,                 25054953.85,74271
,CINELINE,EQ,        38.65,                  1157647.15,29864
,CINEVISTA,EQ,         6.35,                    71558.90,11193
,CLEDUCATE,EQ,        70.15,                  3212754.05,45827
,CLNINDIA,EQ,       394.80,                 11231283.10,28483
,CMICABLES,BE,        47.70,                  2427289.75,50010
,CNOVAPETRO,BE,        17.65,                   372968.65,21095
,COCHINSHIP,EQ,       381.65,                 94053384.35,245456
,COFORGE,EQ,      2734.00,               3248621492.15,1193338
,COMPINFO,EQ,        18.95,                  5971340.30,313132
,COMPUSOFT,EQ,         9.25,                  1297010.60,141278
,CONFIPET,EQ,        47.45,                 87948046.60,1814469
,CONSOFINVT,EQ,        50.35,                   519851.00,10442
,CONTROLPR,EQ,       229.30,                   893739.55,3906
,CORALFINAC,EQ,        22.95,                   106443.25,4624
,CORDSCABLE,EQ,        47.25,                  4760410.55,100028
,COROMANDEL,EQ,       773.55,                300162722.70,387888
,COSMOFILMS,EQ,       644.45,                113929006.10,178107
,COUNCODOS,BE,         2.35,                    81881.05,34843
,COX&KINGS,BZ,         1.35,                   355924.40,272826
,CPSEETF,EQ,        23.81,                 49300635.35,2074537
,CREATIVE,EQ,       108.95,                  1514426.65,13871
,CREATIVEYE,EQ,         2.80,                      363.30,127
,CREDITACC,EQ,       699.45,                 84293497.60,119171
,CREST,EQ,        93.25,                   190728.20,2044
,CRISIL,EQ,      1919.85,                 56788027.50,29496
,CROMPTON,EQ,       419.50,                351776580.30,839464
,CSBBANK,EQ,       260.85,                203957247.75,792901
,CTE,EQ,        31.50,                   445574.50,13820
,CUB,EQ,       172.40,                537409447.50,3134003
,CUBEXTUB,EQ,        21.05,                   157565.60,7499
,CUMMINSIND,EQ,       879.35,                994116467.10,1138075
,CUPID,EQ,       234.60,                123741523.75,522579
,CYBERMEDIA,BE,        15.95,                   120597.95,7561
,CYBERTECH,EQ,       138.30,                115821708.10,857491
,CYIENT,EQ,       657.60,                356998065.45,540465
,DAAWAT,EQ,        64.80,                274202576.60,4220263
,DALBHARAT,EQ,      1470.30,                 80207725.45,54717
,DALMIASUG,EQ,       171.55,                 37668034.75,218367
,DAMODARIND,EQ,        33.30,                  1851521.85,55042
,DANGEE,EQ,       130.55,                  4073854.55,31231
,DATAMATICS,EQ,       115.15,                 27513341.70,239955
,DBCORP,EQ,        98.05,                 13841195.40,141131
,DBL,EQ,       645.65,                 99550280.20,153682
,DBREALTY,BE,        30.70,                 16670400.05,544017
,DBSTOCKBRO,EQ,        10.00,                    13823.15,1391
,DCAL,EQ,       133.25,                 94304645.75,718615
,DCBBANK,EQ,       114.80,                129470792.75,1118197
,DCM,EQ,        26.85,                   309425.95,11436
,DCMFINSERV,BE,         1.65,                    10038.75,6145
,DCMNVL,BE,        84.25,                  5041748.20,60521
,DCMSHRIRAM,EQ,       539.20,                 41219772.15,76534
,DCW,EQ,        31.05,                114317034.45,3667473
,DECCANCE,EQ,       434.50,                  7597658.55,17496
,DEEPAKFERT,EQ,       210.55,                188277721.00,896525
,DEEPAKNTR,EQ,      1599.30,               1842246305.70,1170778
,DEEPENR,EQ,        40.40,                  1449371.75,35870
,DELTACORP,EQ,       173.40,                523474526.85,3051194
,DELTAMAGNT,EQ,        32.25,                   238351.60,7318
,DEN,EQ,        60.65,                 53059923.45,864967
,DENORA,EQ,       271.40,                  6099077.30,22212
,DEVIT,SM,       125.00,                   187500.00,1500
,DFMFOODS,EQ,       396.55,                 10829201.40,27331
,DGCONTENT,EQ,         8.30,                  3476837.10,425175
,DHAMPURSUG,EQ,       195.75,                 78656638.80,400634
,DHANBANK,EQ,        15.00,                 15576693.10,1040319
,DHANI,EQ,       294.35,                721560711.45,2448102
,DHANILOANS,N3,       986.00,                    49300.00,50
,DHANILOANS,N4,       964.55,                    42440.58,44
,DHANILOANS,N2,      1213.98,                   218631.50,181
,DHANILOANS,N7,       970.00,                     9696.00,10
,DHANILOANS,N6,       999.00,                   120544.79,121
,DHANILOANS,N8,      1051.10,                   220683.00,210
,DHANILOANS,NF,       905.20,                     9957.20,11
,DHANILOANS,NQ,       852.40,                     2557.20,3
,DHANILOANS,N5,      1208.88,                   479704.75,401
,DHANILOANS,ND,      1000.00,                   105082.00,105
,DHANIPP,E1,       175.45,                 14440073.25,80938
,DHANUKA,EQ,       720.95,                 35322040.10,49110
,DHARSUGAR,EQ,         7.85,                   515081.90,63775
,DHFL,EQ,        20.70,                 41770096.65,1993829
,DHFL,NS,       347.98,                    70097.98,206
,DHFL,Y1,       379.75,                    70887.75,195
,DHFL,NN,       365.00,                    87735.00,240
,DHFL,NQ,       350.00,                    97585.14,277
,DHFL,N6,       333.10,                   108510.54,323
,DHFL,NA,       369.00,                    73791.00,200
,DHFL,NC,       351.37,                  1233170.70,3485
,DHFL,NP,       357.51,                   163137.30,457
,DHUNINV,EQ,       281.75,                  1211522.05,4277
,DIAMONDYD,EQ,       651.90,                  5375357.70,8219
,DIAPOWER,BZ,          .75,                    30004.90,41314
,DICIND,EQ,       426.75,                  5430554.85,12697
,DIGISPICE,BE,        80.45,                  1233781.20,15336
,DISHTV,EQ,        11.25,                 64166851.60,5647998
,DIXON,EQ,     20103.75,                781981411.65,39205
,DLINKINDIA,EQ,       108.90,                 17081072.50,156099
,DOLAT,EQ,        59.10,                 25483435.65,434827
,DOLLAR,EQ,       265.30,                 17026923.35,64070
,DONEAR,EQ,        35.60,                  4698327.95,130627
,DPABHUSHAN,EQ,       112.60,                   199655.60,1776
,DPSCLTD,EQ,        13.15,                   321810.90,24479
,DPWIRES,EQ,       112.65,                   714851.20,6368
,DRCSYSTEMS,BE,       135.20,                    88266.40,653
,DREDGECORP,EQ,       401.00,                148308912.40,371646
,DSML,SM,         7.10,                    42600.00,6000
,DSSL,EQ,        72.35,                  7004332.10,98378
,DTIL,EQ,       278.60,                  1341577.40,4788
,DUCON,EQ,         6.00,                   820926.35,138327
,DVL,EQ,       100.70,                  8627978.30,86226
,DWARKESH,EQ,        34.60,                 52998397.40,1520365
,DYNAMATECH,EQ,       936.20,                 17422388.95,18616
,DYNPRO,EQ,       493.95,                128165505.85,256034
,EASUNREYRL,BZ,         2.60,                    65162.50,25600
,EBANK,EQ,      3910.65,                     7821.30,2
,EBBETF0423,EQ,      1108.90,                  6212444.85,5606
,EBBETF0425,EQ,      1016.66,                  4050798.96,3986
,EBBETF0430,EQ,      1109.74,                  8803959.56,7935
,EBBETF0431,EQ,       999.96,                 17940886.25,17949
,EBIXFOREX,EQ,       500.65,                  5359812.55,10805
,EC2RG,MF,         8.45,                    42250.00,5000
,ECLERX,EQ,       975.40,                120852361.40,124130
,ECLFINANCE,NM,      1014.00,                   421087.00,421
,ECLFINANCE,NP,       980.00,                    51503.00,54
,ECLFINANCE,NN,      1213.48,                     4851.96,4
,ECLFINANCE,NI,       995.00,                    26767.99,27
,ECLFINANCE,NJ,       933.19,                   121315.20,130
,ECLFINANCE,NS,       978.99,                   273142.73,284
,ECLFINANCE,NK,       942.00,                    23550.00,25
,ECLFINANCE,NF,      1046.72,                   941751.60,901
,ECLFINANCE,NO,       970.96,                   380340.05,390
,ECLFINANCE,NG,       945.99,                   363255.22,384
,ECLFINANCE,NR,       991.47,                   154692.84,157
,EDELWEISS,EQ,        83.70,                981871876.20,11933408
,EDUCOMP,BZ,         2.95,                   117506.85,39635
,EHFLNCD,N5,       986.00,                    29555.00,30
,EHFLNCD,N4,      1531.51,                   241981.01,158
,EHFLNCD,N6,       945.00,                    99125.00,105
,EIDPARRY,EQ,       361.55,                 91286098.40,253953
,EIFFL,SM,        90.00,                   354240.00,4000
,EIHAHOTELS,EQ,       277.05,                  3107158.90,11206
,EIHOTEL,EQ,       107.90,                 36096578.05,334035
,EIMCOELECO,EQ,       375.50,                   925547.55,2477
,EKC,EQ,        74.60,                 11402494.00,153455
,ELECON,EQ,        63.50,                 58923937.20,923167
,ELECTCAST,EQ,        26.05,                 21231079.35,817178
,ELECTHERM,EQ,       120.45,                  2354208.85,19730
,ELGIEQUIP,EQ,       202.10,                 54358021.15,270135
,ELGIRUBCO,EQ,        30.85,                  5026032.10,162287
,EMAMILTD,EQ,       482.35,                324617694.95,678320
,EMAMIPAP,EQ,        99.25,                  2928733.25,29709
,EMAMIREAL,EQ,        51.00,                  1934625.90,37814
,EMBASSY,RR,       333.20,                271764486.00,814800
,EMCO,BZ,         1.95,                   133653.15,69655
,EMKAY,EQ,        80.90,                 17439675.85,211563
,EMMBI,EQ,        82.30,                   877997.95,10697
,EMOFSR1RDP,MF,        14.15,                   127518.13,9027
,EMOFSR1RGG,MF,        14.09,                  2540301.90,180145
,ENDURANCE,EQ,      1400.55,                 39017467.30,27942
,ENERGYDEV,BE,        10.25,                   212219.65,20661
,ENGINERSIN,EQ,        83.05,                385404859.60,4609893
,ENIL,EQ,       166.25,                  3158794.35,18995
,EPL,EQ,       218.90,                 39483927.30,178915
,EQ30,EQ,       428.64,                    12430.19,29
,EQUITAS,EQ,        93.70,                159769126.60,1715150
,EQUITASBNK,EQ,        61.15,                111173834.95,1847780
,ERFLNCDI,N6,       860.00,                    34400.00,40
,ERIS,EQ,       589.70,                 88231676.05,150412
,EROSMEDIA,EQ,        30.10,                  7493334.70,245676
,ESABINDIA,EQ,      1867.80,                  7800716.00,4176
,ESCORTS,EQ,      1365.00,               1124250562.20,825036
,ESSARSHPNG,EQ,         9.60,                   694797.70,72171
,ESTER,EQ,       113.30,                 22004875.65,193633
,EUROCERA,BZ,         1.10,                      103.10,96
,EUROTEXIND,EQ,         8.25,                        8.25,1
,EVEREADY,EQ,       297.65,                 84225972.05,282841
,EVERESTIND,EQ,       322.95,                 32586116.55,100890
,EXCEL,EQ,         2.80,                   242095.60,85311
,EXCELINDUS,EQ,       886.85,                  9028994.75,10119
,EXIDEIND,EQ,       202.80,                662438857.90,3256102
,EXPLEOSOL,EQ,       514.00,                  3832956.25,7443
,FACT,EQ,       118.50,                188198289.65,1585198
,FAIRCHEMOR,EQ,       634.00,                  5336149.50,8292
,FCL,EQ,        66.05,                 21413598.35,323476
,FCONSUMER,EQ,         7.90,                 40054076.00,5077106
,FCSSOFT,BE,          .80,                  2712041.85,3386910
,FDC,EQ,       290.15,                 22731314.25,78137
,FEDERALBNK,EQ,        86.30,               1495309271.95,17414101
,FEL,EQ,        10.20,                 13884412.60,1351735
,FELDVR,EQ,        13.50,                   731366.65,53874
,FIEMIND,EQ,       611.60,                 56731108.05,91761
,FILATEX,EQ,        68.60,                 78849573.10,1214789
,FINCABLES,EQ,       403.95,                 67093791.25,165240
,FINEORG,EQ,      2417.25,                 38068175.70,15733
,FINPIPE,EQ,       650.60,                108807110.30,166315
,FLEXITUFF,BE,        20.85,                   491161.85,23346
,FLFL,EQ,        78.50,                 40063666.65,513218
,FLUOROCHEM,EQ,       592.10,                 19693410.90,33038
,FMGOETZE,EQ,       307.60,                  1499800.80,4874
,FMNL,EQ,        17.45,                  1065314.75,60313
,FOCUS,SM,        21.00,                    63000.00,3000
,FORCEMOT,EQ,      1309.60,                 13845279.85,10541
,FORTIS,EQ,       179.70,                703520903.95,3856608
,FOSECOIND,EQ,      1220.10,                  1357363.70,1113
,FRETAIL,EQ,        69.00,                249979400.60,3612982
,FSC,EQ,        91.50,                 11165048.95,121909
,FSL,EQ,       103.40,                257989791.20,2497122
,G5,EQ,        47.01,                   108617.28,2312
,GABRIEL,EQ,       119.50,                 51121222.35,428151
,GAEL,EQ,       135.60,                 31416457.05,229336
,GAL,EQ,         2.35,                   149518.25,64072
,GALAXYSURF,EQ,      2356.85,                 56001001.05,23796
,GALLANTT,EQ,        48.00,                   607400.40,12684
,GALLISPAT,EQ,        38.80,                   327768.35,8438
,GAMMNINFRA,EQ,          .85,                  1744458.35,2083867
,GANDHITUBE,EQ,       277.45,                  2281459.50,8192
,GANECOS,EQ,       625.60,                  9715930.65,15424
,GANESHHOUC,EQ,        53.20,                  1799204.20,33917
,GANGAFORGE,SM,        37.30,                  1185200.00,32000
,GANGESSECU,EQ,        63.50,                    58882.90,921
,GARFIBRES,EQ,      2572.45,                 83397369.25,32332
,GATI,EQ,       109.55,                249015580.35,2283331
,GAYAHWS,BE,          .70,                    53423.30,79575
,GAYAPROJ,EQ,        35.95,                 13320090.75,368430
,GBGLOBAL,EQ,         6.95,                    10545.90,1497
,GDL,EQ,       186.20,                 20814330.45,112339
,GEECEE,EQ,        98.75,                   614291.90,6158
,GEEKAYWIRE,EQ,        78.40,                   823203.45,10527
,GENCON,EQ,        54.25,                  1129018.30,20767
,GENESYS,BE,       113.00,                  3537375.75,31355
,GENUSPAPER,EQ,         7.75,                  2203146.60,281475
,GENUSPOWER,EQ,        49.65,                 54353167.90,1077982
,GEOJITFSL,EQ,        59.95,                104694394.80,1704395
,GEPIL,EQ,       288.10,                 25171017.80,86758
,GESHIP,EQ,       315.90,                 77424690.65,243534
,GET&D,EQ,       132.70,                 13549624.75,100844
,GFLLIMITED,EQ,        89.25,                  9839715.15,108991
,GFSTEELS,EQ,         1.90,                       57.00,30
,GHCL,EQ,       242.15,                134587314.30,552684
,GICHSGFIN,EQ,       136.45,                 51158694.15,377931
,GILLANDERS,EQ,        45.80,                   919935.95,20082
,GILLETTE,EQ,      5610.20,                 19466127.55,3471
,GINNIFILA,EQ,        19.70,                  1963811.80,98284
,GIPCL,EQ,        84.10,                141975728.35,1651225
,GIRIRAJ,SM,        61.95,                   222960.00,3600
,GISOLUTION,EQ,         2.60,                     8961.50,3465
,GKWLIMITED,EQ,       525.95,                   649835.95,1239
,GLAND,EQ,      2490.90,                240698269.55,96338
,GLAXO,EQ,      1471.90,                 82888938.40,55952
,GLENMARK,EQ,       486.50,                999317427.15,2061781
,GLFL,EQ,         2.85,                   119896.85,40919
,GLOBAL,EQ,        49.95,                    23817.05,477
,GLOBALVECT,BZ,        44.05,                   196440.45,4439
,GLOBE,BE,        49.65,                    48110.85,969
,GLOBOFFS,EQ,         8.10,                    68089.65,8378
,GLOBUSSPR,EQ,       325.50,                 25992284.65,79020
,GMBREW,EQ,       426.05,                  4814563.15,11217
,GMDCLTD,EQ,        61.85,                328789020.95,5249965
,GMMPFAUDLR,EQ,      4397.60,                195749597.35,44723
,GMRINFRA,EQ,        27.90,                355815627.30,12791934
,GNA,EQ,       387.10,                 27398408.85,70645
,GNFC,EQ,       309.80,                304197829.05,972945
,GOACARBON,EQ,       328.15,                 29007281.95,88399
,GOCLCORP,EQ,       229.50,                  2321189.70,10055
,GODFRYPHLP,EQ,       903.40,                 27761997.00,30748
,GODHA,EQ,        50.60,                  1629803.65,31863
,GODREJAGRO,EQ,       491.00,                 35522174.30,72365
,GODREJIND,EQ,       493.25,                899789522.30,1828595
,GODREJPROP,EQ,      1463.35,               2008046713.15,1353732
,GOENKA,BZ,         2.30,                  1524182.10,666948
,GOKEX,EQ,        78.95,                 17694022.50,221371
,GOKUL,EQ,        18.30,                  1745153.00,94604
,GOKULAGRO,EQ,        23.30,                  1918265.05,81278
,GOLDBEES,EQ,        38.95,                206014384.32,5286384
,GOLDENTOBC,EQ,        46.00,                   365080.50,7993
,GOLDIAM,EQ,       334.85,                 30758023.85,90701
,GOLDSHARE,EQ,      4027.30,                  9145334.90,2272
,GOODLUCK,EQ,        71.90,                  7982714.70,111683
,GOODYEAR,EQ,       967.95,                 11470692.10,11813
,GPIL,EQ,       553.75,                 47338561.05,86332
,GPPL,EQ,       103.95,                 33043868.45,318081
,GPTINFRA,EQ,        42.00,                  3068326.80,75222
,GRANULES,EQ,       350.35,                926239390.65,2655699
,GRAPHITE,EQ,       511.45,               3024274585.25,6017320
,GRAVITA,EQ,       110.25,                 23133034.25,208788
,GREAVESCOT,EQ,       149.00,                201818158.70,1344493
,GREENLAM,EQ,       917.35,                  1110434.40,1202
,GREENPANEL,EQ,       170.80,                636502847.65,3790776
,GREENPLY,EQ,       184.20,                 88498878.80,484728
,GREENPOWER,BE,         2.15,                  2648006.25,1220913
,GRINDWELL,EQ,       934.05,                184153428.00,196981
,GROBTEA,EQ,       986.25,                   262192.15,264
,GRPLTD,EQ,       842.20,                   386178.30,455
,GRSE,EQ,       205.35,                 26217153.90,127744
,GSCLCEMENT,EQ,        37.80,                  8552261.60,225622
,GSFC,EQ,        98.20,                767693494.70,7857449
,GSPL,EQ,       271.20,                207168279.75,754885
,GSS,EQ,        56.20,                 10248548.70,179615
,GTL,EQ,         6.60,                   699298.95,107133
,GTLINFRA,EQ,         1.00,                 51309234.00,52340449
,GTNIND,EQ,        11.70,                    25654.65,2175
,GTNTEX,EQ,         5.50,                     1588.45,291
,GTPL,EQ,       125.55,                  7613521.45,60085
,GUFICBIO,EQ,       112.70,                  5201661.85,46016
,GUJALKALI,EQ,       352.50,                 75420914.70,212713
,GUJAPOLLO,EQ,       213.15,                   196569.30,917
,GUJGASLTD,EQ,       534.65,                280992847.90,522995
,GUJRAFFIA,BE,        77.15,                   292888.25,3755
,GULFOILLUB,EQ,       742.90,                  9361239.80,12556
,GULFPETRO,EQ,        42.45,                  2089862.45,49045
,GULPOLY,EQ,        94.00,                 12218537.90,129970
,HAL,EQ,      1067.35,                220237438.20,205561
,HAPPSTMNDS,EQ,       542.00,                672289333.60,1233931
,HARITASEAT,EQ,       730.00,                  5179116.00,7076
,HARRMALAYA,EQ,       150.20,                 66897131.10,439253
,HATHWAY,EQ,        32.40,                 65950033.15,1996025
,HATSUN,EQ,       772.45,                 33394942.90,43404
,HAVISHA,BE,          .80,                    57400.80,70257
,HBANKETF,EQ,       358.31,                   435869.23,1217
,HBLPOWER,EQ,        39.50,                 18820825.25,475938
,HBSL,BE,        20.75,                    84950.50,4094
,HCC,EQ,         9.45,                109496098.65,11677672
,HCG,EQ,       177.90,                110277610.45,619842
,HCL-INSYS,EQ,        11.25,                 13641758.75,1175047
,HDFC,W3,       840.00,                 11685060.00,13800
,HDFCMFGETF,EQ,        39.96,                 39203076.76,979899
,HDFCNIFETF,EQ,       160.05,                  1422962.95,8883
,HDFCSENETF,EQ,       545.07,                   673990.12,1240
,HDIL,BZ,         5.85,                  1721584.50,297917
,HEG,EQ,      1606.45,               2384676274.70,1494503
,HEIDELBERG,EQ,       225.95,                 42626887.55,188824
