,15-Jun-2021
The Nifty witnessed an intraday movement of about 59.2 points.The closing index was 0.36 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 67123.48
, Traded Quantity (in Lakhs), 34416.34
, Number of Trades, 22698476
, Total Market Capitalisation (Rs. Crores), 22997088.23

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     15811.85,     15866.95,     15901.60,     15842.40,     15869.25,57.4
,NIFTY50 EQL Wgt,     17908.15,     17957.65,     17994.00,     17914.10,     17929.85,21.7
,NIFTY100 EQL Wgt,     19109.00,     19159.55,     19189.60,     19118.80,     19134.30,25.3
,NIFTY100 LowVol30,     12372.85,     12401.05,     12447.40,     12394.45,     12407.55,34.7
,NIFTY Alpha 50,     27557.30,     27608.55,     27669.65,     27480.15,     27537.15,-20.15
,NIFTY MIDCAP 150,     10233.45,     10264.80,     10316.30,     10253.95,     10292.10,58.65
,NIFTY SMLCAP 50,      4903.25,      4931.90,      4949.60,      4905.85,      4911.00,7.75
,NIFTY SMLCAP 250,      8362.80,      8408.75,      8443.80,      8393.95,      8404.45,41.65
,NIFTY MIDSML 400,      9561.30,      9597.70,      9639.30,      9593.65,      9613.90,52.6
,NIFTY200 QUALTY30,     13365.90,     13409.30,     13453.80,     13400.15,     13432.60,66.7
,Nifty FinSrv25 50,     16642.75,     16703.00,     16740.90,     16656.30,     16705.45,62.7
,NIFTY AlphaLowVol,     15657.85,     15686.65,     15771.55,     15680.90,     15724.90,67.05
,Nifty200Momentm30,     17930.60,     18020.35,     18057.70,     17958.55,     17998.60,68
,Nifty100ESGSecLdr,      2703.20,      2712.05,      2715.55,      2706.75,      2709.00,5.8
,Nifty IT,     28314.10,     28384.70,     28544.60,     28325.90,     28377.85,63.75
,Nifty Next 50,     39121.95,     39246.90,     39351.60,     39172.35,     39248.75,126.8
,Nifty Bank,     34950.60,     35038.05,     35317.40,     34917.90,     35247.75,297.15
,NIFTY MIDCAP 100,     27198.50,     27260.95,     27432.05,     27236.65,     27364.35,165.85
,Nifty 500,     13554.15,     13601.35,     13634.35,     13587.75,     13607.80,53.65
,Nifty 100,     16079.70,     16134.30,     16167.60,     16113.60,     16136.65,56.95
,Nifty Midcap 50,      7572.00,      7603.65,      7656.15,      7593.00,      7623.80,51.8
,Nifty Realty,       352.40,       355.00,       358.60,       354.05,       357.05,4.65
,Nifty Infra,      4472.35,      4496.90,      4499.10,      4469.35,      4475.90,3.55
,Nifty Energy,     20902.70,     21022.95,     21066.10,     20851.75,     20900.10,-2.6
,Nifty FMCG,     35659.95,     35691.40,     35953.65,     35673.90,     35921.50,261.55
,Nifty MNC,     17309.85,     17345.35,     17426.90,     17321.05,     17412.85,103
,Nifty Pharma,     14449.60,     14464.50,     14505.00,     14309.55,     14322.65,-126.95
,Nifty PSE,      3723.45,      3739.10,      3755.35,      3712.60,      3716.45,-7
,Nifty PSU Bank,      2488.75,      2489.70,      2514.20,      2478.70,      2482.40,-6.35
,Nifty Serv Sector,     21815.25,     21904.90,     21965.40,     21858.80,     21931.85,116.6
,India VIX,14.7150,14.7150,15.1625,13.2775,14.6050,-0.1100
,Nifty Auto,     10753.10,     10768.20,     10803.25,     10739.40,     10754.40,1.3
,Nifty Metal,      5371.60,      5397.55,      5412.75,      5356.15,      5368.95,-2.65
,Nifty Media,      1869.85,      1878.70,      1923.05,      1875.70,      1907.30,37.45
,NIFTY SMLCAP 100,      9717.05,      9766.35,      9811.70,      9749.15,      9760.45,43.4
,Nifty 200,      8389.25,      8416.55,      8437.30,      8406.90,      8421.75,32.5
,Nifty Div Opps 50,      3329.65,      3339.65,      3348.50,      3334.55,      3336.25,6.6
,Nifty Commodities,      5283.15,      5295.85,      5323.50,      5276.40,      5288.85,5.7
,Nifty Consumption,      6300.25,      6316.45,      6361.10,      6313.20,      6357.40,57.15
,Nifty Fin Service,     16581.70,     16642.35,     16700.50,     16587.30,     16676.80,95.1
,Nifty50 Div Point,        59.80,        59.80,        59.80,        59.80,        59.80,0
,Nifty100 Liq 15,      4039.15,      4054.55,      4068.60,      4048.30,      4055.60,16.45
,Nifty CPSE,      2109.05,      2120.55,      2125.45,      2097.90,      2100.20,-8.85
,Nifty GrowSect 15,      7601.20,      7606.75,      7627.30,      7593.95,      7602.35,1.15
,Nifty50 PR 2x Lev,      7527.45,      7579.25,      7611.85,      7560.10,      7581.45,54
,Nifty50 PR 1x Inv,       277.75,       276.85,       277.20,       276.25,       276.80,-.95
,Nifty50 TR 2x Lev,     10123.80,     10193.45,     10237.35,     10167.75,     10196.40,72.6
,Nifty50 TR 1x Inv,       239.60,       238.80,       239.10,       238.30,       238.75,-.85
,Nifty50 Value 20,      8017.60,      8031.05,      8055.40,      8017.95,      8023.20,5.6
,Nifty Mid Liq 15,      6403.15,      6425.10,      6446.15,      6412.15,      6431.60,28.45
,Nifty Pvt Bank,     18352.70,     18412.35,     18577.20,     18352.55,     18549.95,197.25
,NIFTY100 Qualty30,      3606.10,      3616.90,      3633.15,      3614.70,      3626.05,19.95
,Nifty GS 8 13Yr,      2277.09,      2277.47,      2277.47,      2271.08,      2271.63,-5.46
,Nifty GS 10Yr,      2064.80,      2065.14,      2065.14,      2058.83,      2060.08,-4.72
,Nifty GS 10Yr Cln,       957.31,       957.31,       957.31,       954.38,       954.96,-2.35
,Nifty GS 4 8Yr,      2435.97,      2436.35,      2436.35,      2426.03,      2426.50,-9.47
,Nifty GS 11 15Yr,      2440.46,      2440.91,      2440.91,      2430.37,      2430.65,-9.81
,Nifty GS 15YrPlus,      2635.40,      2635.90,      2636.06,      2630.34,      2630.47,-4.93
,Nifty GS Compsite,      2323.22,      2323.61,      2323.61,      2314.91,      2315.46,-7.76

,ADVANCES,1188
,DECLINES,810
,UNCHANGED,67

,Total securities that have hit their price bands today,357

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,ADANIPORTS,EQ,       768.45,       761.85,-0.86,3488.7
,BLBLIMITED,EQ,         8.50,                  1024562.35,118619
,BLISSGVS,EQ,       115.30,                 58841204.45,510498
,BLKASHYAP,EQ,        28.45,                 48952714.55,1754261
,BLS,EQ,       125.10,                 25510856.20,201094
,BLUECOAST,BE,         5.15,                      772.50,150
,BLUEDART,EQ,      5792.25,                163453444.15,28272
,BLUESTARCO,EQ,       814.45,                 78432708.85,95867
,BODALCHEM,EQ,       107.50,                 86228299.55,791178
,BOHRA,SM,         4.35,                   543200.00,128000
,BOMDYEING,EQ,        86.50,                412293186.65,4705204
,BOROLTD,EQ,       215.75,                 22970399.40,105643
,BORORENEW,BE,       269.70,                 43673671.25,161083
,BPL,EQ,        35.25,                  8413808.10,235919
,BRFL,EQ,         9.15,                 54821520.35,6159367
,BRIGADE,EQ,       283.90,                 73315665.00,258506
,BRIGHT,SM,         9.95,                   268800.00,27000
,BRITANNIA,N2,        32.78,                  1084463.73,33116
,BRNL,EQ,        33.85,                 15226168.80,446177
,BROOKS,EQ,        99.05,                  2392395.95,23909
,BSE,EQ,       945.15,               1511110053.70,1596003
,BSELINFRA,EQ,         1.65,                    49714.50,30130
,BSHSL,EQ,       190.25,                  1392314.55,7309
,BSL,EQ,        58.05,                  4306748.25,74925
,BSLGOLDETF,EQ,      4426.50,                   407268.55,92
,BSLNIFTY,EQ,       175.04,                   109301.21,624
,BSOFT,EQ,       400.50,                939910927.00,2346018
,BTML,SM,        70.00,                    84000.00,1200
,BURGERKING,EQ,       162.55,                558486645.70,3425796
,BUTTERFLY,BE,       743.90,                 14799223.05,19715
,BVCL,BE,        22.65,                   121713.45,5248
,BYKE,BE,        30.45,                  1558976.40,50792
,CADSYS,SM,        32.75,                    65500.00,2000
,CALSOFT,EQ,        20.25,                  6244754.95,311669
,CAMLINFINE,EQ,       174.00,                 85720335.85,487832
,CAMS,EQ,      2853.70,                533085254.95,186663
,CANBK,EQ,       154.35,                993564391.60,6396022
,CANDC,BZ,         5.00,                   670431.75,140173
,CANFINHOME,EQ,       522.95,                256758342.20,487744
,CANTABIL,EQ,       387.20,                 60044184.95,154444
,CAPACITE,EQ,       210.00,                150964753.20,709293
,CAPLIPOINT,EQ,       678.05,                433281428.20,632900
,CAPTRUST,EQ,        95.45,                  1231377.75,12915
,CARBORUNIV,EQ,       575.90,                122444082.85,212540
,CAREERP,EQ,       140.05,                  6885451.95,49081
,CARERATING,EQ,       670.75,               1790667503.95,2691148
,CASTROLIND,EQ,       147.85,                157695336.90,1057470
,CCCL,BE,          .60,                   312974.05,506359
,CCHHL,BE,         6.80,                   673610.75,98461
,CCL,EQ,       343.55,                146959874.00,422991
,CDSL,EQ,      1007.55,               1357774476.25,1338978
,CEATLTD,EQ,      1381.00,                493167670.75,356973
,CEBBCO,EQ,        25.90,                  2072673.40,80026
,CELEBRITY,EQ,         8.00,                   877013.60,109112
,CENTENKA,EQ,       402.80,                 87383216.95,215904
,CENTEXT,EQ,         8.40,                  4332466.50,513200
,CENTRALBK,EQ,        20.80,                144464503.50,6928753
,CENTRUM,EQ,        42.90,                125150899.35,2865570
,CENTUM,EQ,       416.75,                  8083634.15,19216
,CENTURYPLY,EQ,       418.85,                 76223337.20,181115
,CENTURYTEX,EQ,       583.35,                836982377.95,1437370
,CERA,EQ,      4472.45,                 77316233.50,17404
,CEREBRAINT,EQ,        66.35,                 74629655.00,1123522
,CESC,EQ,       782.70,                845499282.40,1079159
,CGCL,EQ,       529.30,                 96710866.15,182383
,CGPOWER,BE,        84.75,                178146346.20,2046396
,CHALET,EQ,       183.35,                 59523427.45,321017
,CHAMBLFERT,EQ,       290.15,                270136149.10,935872
,CHEMBOND,EQ,       207.95,                  5656302.35,27041
,CHEMCON,EQ,       488.05,                 70605149.80,143392
,CHEMFAB,EQ,       153.65,                  3878842.70,24982
,CHENNPETRO,EQ,       135.20,                243806870.85,1793841
,CHOLAFIN,EQ,       568.50,               1986025481.10,3467307
,CHOLAHLDNG,EQ,       688.25,                 67807006.65,98651
,CIGNITITEC,EQ,       481.75,                172880864.80,360861
,CINELINE,EQ,        44.85,                 22419332.35,495584
,CINEVISTA,BE,        12.80,                   978630.40,76330
,CLEDUCATE,EQ,       114.60,                  5314268.45,45779
,CLNINDIA,EQ,       569.40,                188626898.55,326623
,CLSEL,EQ,       128.90,                 10397415.55,80704
,CMICABLES,EQ,        50.85,                  5244756.70,101340
,CMMIPL,SM,        20.15,                  1639650.00,81000
,COCHINSHIP,EQ,       410.85,                238599357.40,572135
,COFFEEDAY,EQ,        38.75,                 38939750.55,996466
,COFORGE,EQ,      3944.85,               1109362249.50,280264
,COMPINFO,EQ,        27.45,                 16633575.90,602387
,COMPUSOFT,EQ,        14.75,                  4241054.65,286727
,CONFIPET,EQ,        62.45,                 72399562.00,1149545
,CONSOFINVT,EQ,        93.15,                  4215420.75,45438
,CONTI,SM,         6.90,                   234476.55,33330
,CONTROLPR,EQ,       356.65,                  5354383.55,15051
,CORALFINAC,EQ,        38.75,                 45846444.35,1178477
,CORDSCABLE,EQ,        54.85,                  3483758.85,62928
,COROMANDEL,EQ,       851.15,                215666295.45,253759
,COSMOFILMS,EQ,       838.05,                 50312557.00,59748
,COUNCODOS,EQ,         3.75,                   638508.75,170269
,COX&KINGS,BZ,         2.00,                  3265084.60,1639241
,CPSEETF,EQ,        26.78,                121711942.46,4524040
,CRAFTSMAN,EQ,      1769.80,                 43845794.95,24666
,CREATIVE,EQ,        99.30,                 54441268.90,547119
,CREATIVEYE,EQ,         3.15,                    24377.40,7396
,CREDITACC,EQ,       764.10,               1062912102.35,1382895
,CREST,EQ,       102.75,                  2687554.70,25625
,CRISIL,EQ,      2472.95,                350065592.25,141917
,CROMPTON,EQ,       429.65,                813183282.90,1904985
,CROWN,SM,        90.85,                  2998050.00,33000
,CSBBANK,EQ,       332.45,                 83649503.40,251282
,CTE,EQ,        38.70,                  3577163.05,92362
,CUB,EQ,       168.70,                197376567.70,1164121
,CUBEXTUB,BE,        27.50,                   488528.85,17934
,CUMMINSIND,EQ,       846.55,               1334863605.70,1581089
,CUPID,EQ,       224.25,                 25656968.20,113890
,CYBERMEDIA,EQ,        10.25,                   173058.45,16441
,CYBERTECH,EQ,       147.80,                 21098702.15,142031
,CYIENT,EQ,       829.55,                 83045857.90,100437
,DAAWAT,EQ,        76.50,                122856788.85,1605006
,DALALSTCOM,BE,          .90,                    14016.60,15574
,DALBHARAT,EQ,      1859.00,                488455146.05,266439
,DALMIASUG,EQ,       400.80,                 38408738.95,94896
,DAMODARIND,EQ,        38.20,                   682347.10,17896
,DANGEE,BE,       170.50,                   727210.00,4298
,DATAMATICS,EQ,       148.60,                 34476892.30,229678
,DBCORP,EQ,       115.95,                135971928.70,1169806
,DBL,EQ,       556.45,                168056852.35,301300
,DBREALTY,EQ,        26.05,                 18981330.25,725881
,DBSTOCKBRO,BE,        16.55,                   192090.20,11656
,DCAL,EQ,       209.90,                 80293480.00,378960
,DCBBANK,EQ,       111.20,                384765349.80,3428499
,DCM,EQ,        41.95,                  4454817.65,106110
,DCMFINSERV,EQ,         2.35,                   119319.70,52960
,DCMNVL,EQ,       129.95,                  8405569.25,64056
,DCMSHRIRAM,EQ,       749.95,                182023612.65,239254
,DCW,EQ,        37.00,                 50393994.35,1348957
,DECCANCE,EQ,       553.40,                 94469716.05,170171
,DEEPAKFERT,EQ,       446.55,               1163464085.30,2538480
,DEEPAKNTR,EQ,      1775.10,               2101227708.45,1171025
,DEEPENR,EQ,        45.80,                 26008820.80,565331
,DEEPINDS,EQ,        85.60,                 44684462.35,526771
,DELTACORP,EQ,       183.30,                394278278.50,2139822
,DELTAMAGNT,EQ,        47.45,                  1373327.20,28114
,DEN,EQ,        61.65,                264751862.20,4218448
,DENORA,EQ,       347.70,                  5763328.90,16425
,DFMFOODS,EQ,       409.50,                208779058.10,502896
,DGCONTENT,EQ,        15.20,                 15203278.15,1018149
,DHAMPURSUG,EQ,       337.10,                159975602.55,468055
,DHANBANK,EQ,        14.95,                 16440837.70,1099309
,DHANI,EQ,       203.60,                172790126.05,849762
,DHANILOANS,NF,       979.00,                    14685.00,15
,DHANILOANS,N7,      1006.31,                    20126.20,20
,DHANILOANS,N6,      1005.00,                     1005.00,1
,DHANILOANS,NH,      1100.00,                    62939.96,67
,DHANILOANS,N8,      1176.55,                    58827.50,50
,DHANILOANS,N3,      1005.00,                   397635.00,395
,DHANIPP,E1,       100.00,                  3828312.25,37937
,DHANUKA,EQ,       979.60,                257171162.10,261313
,DHARSUGAR,EQ,        17.35,                   586135.05,33783
,DHFL,N6,       335.10,                   564077.94,1741
,DHFL,NX,       333.00,                    67799.00,203
,DHFL,NF,       431.00,                    21550.00,50
,DHFL,NN,       360.49,                    88368.77,249
,DHFL,NS,       335.81,                   198974.84,592
,DHFL,NP,       359.00,                  1211046.00,3378
,DHFL,NA,       360.00,                    59480.69,168
,DHFL,NC,       360.00,                   266512.50,735
,DHFL,NR,       355.00,                     8875.00,25
,DHFL,NO,       400.00,                    22400.00,56
,DHUNINV,EQ,       486.00,                   575244.90,1173
,DIAMONDYD,EQ,       675.40,                 33715335.90,49185
,DIAPOWER,BZ,         1.35,                    57878.55,42873
,DICIND,EQ,       489.90,                  9641628.55,19728
,DIGISPICE,BE,        50.40,                 15394534.25,297305
,DISHTV,EQ,        15.55,                217377977.20,13886817
,DIXON,EQ,      4244.85,                669619375.35,158088
,DLINKINDIA,EQ,       123.10,                215269068.70,1733960
,DNAMEDIA,EQ,         3.15,                    90055.35,28589
,DOLAT,EQ,        76.75,                 49832442.55,639290
,DOLLAR,EQ,       310.60,                 51144995.35,162620
,DONEAR,EQ,        43.75,                 52966276.10,1239026
,DPABHUSHAN,EQ,       175.05,                 45903082.65,265802
,DPSCLTD,EQ,        16.30,                  3471861.40,210446
,DPWIRES,EQ,       167.60,                  9777594.35,57705
,DRCSYSTEMS,BE,       279.60,                   379987.30,1342
,DREDGECORP,EQ,       397.95,                 48164262.00,120547
,DSSL,EQ,       158.95,                 11507120.35,71119
,DTIL,EQ,       388.35,                  5446835.80,14076
,DUCON,EQ,        12.35,                  5543493.35,455309
,DVL,EQ,       195.00,                 17131444.35,88181
,DWARKESH,EQ,        71.85,                473333276.95,6446782
,DYNAMATECH,EQ,      1445.10,                 11115940.30,7626
,DYNPRO,EQ,       480.15,                 25438163.60,52538
,E2E,SM,        42.90,                   686900.00,16000
,EASEMYTRIP,EQ,       421.30,               2203346447.75,5087372
,EASTSILK,BE,         4.70,                   553837.55,114997
,EASUNREYRL,BZ,         3.30,                    95954.55,29339
,EBANK,EQ,      3897.00,                    22836.34,6
,EBBETF0423,EQ,      1137.48,                 10109918.25,8884
,EBBETF0425,EQ,      1051.90,                  1112703.51,1058
,EBBETF0430,EQ,      1165.23,                  5427991.77,4659
,EBBETF0431,EQ,      1047.14,                 15384773.83,14685
,EBIXFOREX,EQ,       648.55,                  2806175.05,4319
,ECLERX,EQ,      1746.45,                545645586.55,304078
,ECLFINANCE,NM,      1024.10,                   778725.40,761
,ECLFINANCE,NN,      1240.00,                    12400.00,10
,ECLFINANCE,NJ,       937.02,                   305499.85,326
,ECLFINANCE,NS,      1007.90,                    12094.80,12
,ECLFINANCE,NK,       990.00,                   483247.79,489
,ECLFINANCE,NP,       995.25,                   213264.40,212
,ECLFINANCE,NH,      1238.00,                     2476.00,2
,ECLFINANCE,NO,       995.00,                    69954.00,70
,ECLFINANCE,NG,       990.00,                    10890.00,11
,ECLFINANCE,NR,       997.07,                   768272.25,770
,ECLFINANCE,NQ,      1225.00,                   183750.00,150
,EDELWEISS,EQ,        74.00,                181808968.50,2448640
,EDUCOMP,BZ,         3.80,                   799226.60,210049
,EHFLNCD,N7,      1365.00,                   341250.00,250
,EHFLNCD,N6,      1034.00,                    77502.56,75
,EHFLNCD,N4,      1575.00,                    39375.00,25
,EHFLNCD,N5,       969.70,                    14549.16,15
,EIDPARRY,EQ,       438.55,                145066394.25,329728
,EIHAHOTELS,EQ,       351.55,                  5153143.00,14506
,EIHOTEL,EQ,       118.00,                 66144885.40,558446
,EIMCOELECO,EQ,       382.85,                  1413114.80,3676
,EKC,BE,       102.80,                 92151424.50,941905
,ELECON,EQ,       127.75,                239788291.10,1909983
,ELECTCAST,EQ,        37.75,                145663597.90,3766901
,ELECTHERM,EQ,       157.85,                 32688342.00,200790
,ELGIEQUIP,EQ,       214.10,                 53450815.20,248287
,ELGIRUBCO,EQ,        41.75,                 60721667.95,1491904
,EMAMILTD,EQ,       534.75,                372371187.40,693756
,EMAMIPAP,EQ,       157.05,                 28813669.55,183893
,EMAMIREAL,EQ,        58.90,                  1843222.50,31207
,EMBASSY,RR,       352.84,                134016476.00,379200
,EMCO,BZ,         2.70,                   157450.50,58315
,EMKAY,EQ,        79.15,                  7417879.30,92162
,EMMBI,EQ,       103.15,                  5090202.95,48836
,ENDURANCE,EQ,      1566.50,                366807037.90,231418
,ENERGYDEV,EQ,        13.10,                  2584330.45,198278
,ENGINERSIN,EQ,        84.10,                250962456.70,2972937
,ENIL,EQ,       203.65,                159499884.65,777170
,EPL,EQ,       254.55,                126821793.10,491366
,EQ30,EQ,       384.89,                  1191349.63,3075
,EQUITAS,EQ,        95.65,                 96377991.15,1014565
,EQUITASBNK,EQ,        60.05,                 38514344.25,637676
,ERFLNCDI,N6,       912.00,                    62364.00,68
,ERFLNCDI,N5,       929.85,                   292902.75,315
,ERIS,EQ,       700.10,                 61091312.30,86695
,EROSMEDIA,EQ,        31.75,                  9517411.15,300275
,ESABINDIA,EQ,      1878.45,                 34505390.15,18474
,ESCORTS,EQ,      1209.95,               1283590623.85,1056888
,ESSARSHPNG,EQ,        12.10,                  1034876.70,85527
,ESTER,EQ,       139.15,                 27541974.25,197088
,EUROTEXIND,EQ,         8.30,                     8341.50,1005
,EVEREADY,EQ,       334.75,                160615543.40,476446
,EVERESTIND,EQ,       374.90,                 33782200.20,89289
,EXCEL,BE,         3.05,                   108467.15,35563
,EXCELINDUS,EQ,      1135.85,                 84666986.80,75815
,EXIDEIND,EQ,       193.30,                315324021.65,1636347
,EXPLEOSOL,EQ,       655.35,                 29326863.60,44091
,FACT,EQ,       127.10,                 49439925.75,390435
,FAIRCHEMOR,EQ,      1395.50,                112027362.85,79776
,FCL,EQ,        91.55,                 33887293.45,366955
,FCONSUMER,EQ,        11.35,                898809041.50,81927087
,FCSSOFT,BE,         1.75,                  1191538.25,680879
,FDC,EQ,       382.35,               1774210987.15,4514095
,FEDERALBNK,EQ,        86.00,               1393278695.35,16132267
,FEL,EQ,        13.35,                  8206218.30,614698
,FELDVR,EQ,        16.20,                  1413521.00,87255
,FIEMIND,EQ,       675.20,                 36360979.35,53831
,FILATEX,EQ,       110.60,                189257266.80,1668778
,FILDF2GP,MF,          .31,                         .31,1
,FILDF2GPD,MF,          .93,                      930.00,1000
,FINCABLES,EQ,       500.00,                119135314.30,238425
,FINEORG,EQ,      2891.35,                165537469.95,56999
,FINPIPE,EQ,       167.05,                 89435391.25,529118
,FLEXITUFF,BE,        24.20,                   458975.20,18934
,FLFL,EQ,        85.35,                 56670944.95,675727
,FLUOROCHEM,EQ,      1150.10,                 93434077.10,81658
,FMGOETZE,EQ,       337.00,                 80018050.80,236058
,FMNL,EQ,        19.20,                   921081.20,48323
,FOCUS,SM,        32.25,                  1233150.00,36000
,FORCEMOT,EQ,      1245.90,                 36172240.00,28923
,FORTIS,EQ,       232.60,                397467137.50,1700377
,FOSECOIND,EQ,      1420.75,                  4005952.35,2832
,FRETAIL,EQ,        72.65,                536641721.65,7478924
,FSC,EQ,       116.65,                 73413363.35,648300
,FSL,EQ,       164.45,                434205273.20,2626195
,G5,EQ,        48.39,                   110828.45,2290
,GABRIEL,EQ,       122.90,                 61322369.40,496161
,GAEL,EQ,       170.50,                 98838937.30,581742
,GAL,BE,         2.75,                  1912685.35,700038
,GALAXYSURF,EQ,      3078.85,                 66987525.45,21693
,GALLANTT,EQ,        68.60,                 16361093.65,232059
,GALLISPAT,EQ,        53.20,                  5982067.95,110259
,GAMMNINFRA,EQ,         2.20,                   630583.80,286629
,GANDHITUBE,EQ,       406.65,                240948006.55,618034
,GANECOS,EQ,       547.90,                  7056911.50,12851
,GANESHHOUC,EQ,       103.40,                  3376010.00,32650
,GANGAFORGE,SM,        82.55,                  1320800.00,16000
,GANGESSECU,EQ,        71.10,                  1791628.10,25076
,GARFIBRES,EQ,      2996.35,                141897601.00,47276
,GATI,EQ,       145.35,                341721967.15,2333287
,GAYAHWS,BE,          .80,                   816848.15,1014002
,GAYAPROJ,EQ,        33.80,                275140170.10,8010103
,GDL,EQ,       319.10,                117043699.95,367227
,GEECEE,EQ,       146.85,                 14018524.50,94518
,GEEKAYWIRE,EQ,        88.75,                   752391.40,8494
,GENCON,EQ,        45.95,                   971725.55,21173
,GENESYS,EQ,       112.15,                  2767729.80,24623
,GENUSPAPER,EQ,        10.50,                 10763781.80,1032329
,GENUSPOWER,EQ,        57.15,                 23785553.15,412434
,GEOJITFSL,EQ,        79.20,                182382567.05,2309210
,GEPIL,EQ,       318.15,                 54673223.50,170518
,GESHIP,EQ,       403.95,                276138554.45,680457
,GET&D,EQ,       137.00,                 23661331.90,172098
,GFLLIMITED,EQ,        74.25,                 28816049.75,383420
,GFSTEELS,BE,         3.00,                    18810.15,5981
,GHCL,EQ,       285.95,                129383876.80,460761
,GICHSGFIN,EQ,       143.90,                 50750583.50,352050
,GILLANDERS,EQ,        47.05,                   134453.90,2852
,GILLETTE,EQ,      5805.40,                 35866583.30,6183
,GINNIFILA,EQ,        30.45,                  5725858.65,184837
,GIPCL,EQ,        86.65,                 81417118.60,933211
,GIRIRAJ,SM,        76.40,                   275100.00,3600
,GKWLIMITED,EQ,       591.30,                   529426.55,892
,GLAND,EQ,      3146.45,                321520516.10,101956
,GLAXO,EQ,      1580.15,                171402198.20,106906
,GLENMARK,EQ,       640.90,                676205464.80,1051668
,GLFL,EQ,         2.30,                    25241.70,11004
,GLOBAL,EQ,        52.60,                  1182552.75,22101
,GLOBALVECT,EQ,        54.95,                   597626.45,10824
,GLOBE,BE,        78.30,                  1734579.90,22153
,GLOBUSSPR,EQ,       423.20,               1157670993.40,2690227
,GMBREW,EQ,       590.20,                142340342.55,240061
,GMDCLTD,EQ,        78.50,                162748519.50,2074122
,GMMPFAUDLR,EQ,      4635.40,                257454418.55,55208
,GMRINFRA,EQ,        30.60,               4720262968.95,157501390
,GNA,EQ,       452.45,                 52328183.85,115246
,GNFC,EQ,       372.70,                215551566.90,576719
,GOACARBON,EQ,       431.80,                 27604390.45,62825
,GOCLCORP,EQ,       270.85,                 11458524.90,41993
,GODFRYPHLP,EQ,       942.20,                 66248661.30,69980
,GODHA,BE,        40.50,                    28942.50,706
,GODREJAGRO,EQ,       549.55,                106165233.80,192532
,GODREJIND,EQ,       548.60,                 71635835.35,130148
,GODREJPROP,EQ,      1432.35,                887008903.60,620809
,GOENKA,BZ,         1.45,                   415727.70,287369
,GOKEX,EQ,       134.70,                 34638079.50,255964
,GOKUL,EQ,        32.70,                  4234947.30,129781
,GOKULAGRO,EQ,        44.20,                  9257110.25,207293
,GOLDBEES,EQ,        42.05,                181296942.15,4311508
,GOLDENTOBC,EQ,        50.00,                   501831.90,9984
,GOLDIAM,EQ,       434.95,                 53030955.05,122072
,GOLDSHARE,EQ,        42.30,                  2698957.50,63766
,GOLDTECH,EQ,        14.10,                   944445.20,66611
,GOODLUCK,EQ,       110.90,                 73422864.45,653860
,GOODYEAR,EQ,       989.95,                 66351258.90,66891
,GPIL,EQ,      1431.90,                737274565.90,504923
,GPPL,EQ,       118.95,                822094099.60,6798770
,GPTINFRA,EQ,        69.80,                 87937452.60,1332417
,GRANULES,EQ,       328.50,                406034562.60,1231010
,GRAPHITE,EQ,       732.80,                429608417.40,582075
,GRAVITA,EQ,       127.75,                455461090.50,3555958
,GREAVESCOT,EQ,       156.80,               1760494471.85,11342016
,GREENLAM,EQ,      1182.60,                 40908195.10,34299
,GREENPANEL,BE,       232.45,                 58887655.95,251712
,GREENPLY,EQ,       215.50,                278406416.40,1282578
,GREENPOWER,EQ,         2.90,                 30231266.30,10428216
,GRETEX,SM,         9.85,                  4001400.00,408000
,GRINDWELL,EQ,      1180.10,                 39536186.65,33529
,GROBTEA,EQ,       943.30,                  3418095.75,3609
,GRPLTD,EQ,      1044.65,                  3925476.60,3821
,GRSE,EQ,       199.90,                 68667450.85,339895
,GSCLCEMENT,EQ,        43.15,                 70215247.90,1637861
,GSFC,EQ,       117.00,                198086193.60,1686763
,GSPL,EQ,       318.85,               1622830743.60,5192394
,GSS,EQ,        68.55,                  6883081.55,99793
,GTL,EQ,        15.50,                  2079955.20,134409
,GTLINFRA,EQ,         1.35,                  8335950.30,6174778
,GTNTEX,EQ,         7.30,                    31995.90,4383
,GTPL,EQ,       171.40,                 18229582.40,105174
,GUFICBIO,EQ,       182.35,                 30047744.95,163906
,GUJALKALI,EQ,       419.55,                111514174.55,264666
,GUJAPOLLO,EQ,       232.80,                  1778190.25,7629
,GUJGASLTD,EQ,       648.70,               6744141428.85,10514987
,GUJRAFFIA,BE,        70.00,                   223212.75,3185
,GULFOILLUB,EQ,       695.85,                 69167606.50,99086
,GULFPETRO,EQ,        66.30,                  8992499.10,134572
,GULPOLY,EQ,       188.20,                114346611.55,588654
,HAL,EQ,      1042.00,                116212255.20,110805
,HAPPSTMNDS,EQ,       921.35,               1344177016.40,1447415
,HARRMALAYA,EQ,       208.95,                 35606380.20,168369
,HATHWAY,EQ,        27.75,                482025438.80,17184497
,HATSUN,EQ,       938.30,                215514848.00,230042
,HAVISHA,BE,         1.50,                    63339.85,42331
,HBANKETF,EQ,       351.93,                  1063165.01,3028
