,15-Mar-2021
The Nifty witnessed an intraday movement of about 302.55 points.The closing index was 0.67 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 60004.18
, Traded Quantity (in Lakhs), 28221.39
, Number of Trades, 20212523
, Total Market Capitalisation (Rs. Crores), 20565517.96

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     15030.95,     15048.40,     15048.40,     14745.85,     14929.50,-101.45
,NIFTY50 EQL Wgt,     16290.90,     16344.45,     16344.45,     16006.15,     16241.55,-49.35
,NIFTY100 EQL Wgt,     17203.50,     17264.00,     17266.25,     16906.15,     17128.85,-74.65
,NIFTY100 LowVol30,     11333.30,     11345.45,     11348.35,     11190.65,     11287.95,-45.35
,NIFTY Alpha 50,     22517.80,     22660.85,     22660.85,     22192.55,     22460.35,-57.45
,NIFTY MIDCAP 150,      9144.40,      9190.40,      9193.50,      8989.05,      9081.95,-62.45
,NIFTY SMLCAP 50,      4259.30,      4285.05,      4286.65,      4181.25,      4214.05,-45.25
,NIFTY SMLCAP 250,      7212.80,      7255.55,      7259.90,      7097.65,      7159.70,-53.1
,NIFTY MIDSML 400,      8455.55,      8500.50,      8503.65,      8319.80,      8396.40,-59.15
,NIFTY200 QUALTY30,     12328.85,     12344.05,     12350.00,     12185.75,     12290.90,-37.95
,Nifty FinSrv25 50,     16181.95,     16211.25,     16211.25,     15738.55,     15980.95,-201
,NIFTY AlphaLowVol,     13946.65,     13977.75,     13992.75,     13767.25,     13891.45,-55.2
,Nifty200Momentm30,     14724.70,     14781.60,     14785.75,     14492.60,     14696.35,-28.35
,Nifty100ESGSecLdr,      2549.80,      2552.10,      2552.60,      2510.90,      2534.45,-15.35
,Nifty IT,     25888.25,     25859.15,     26094.15,     25651.80,     26032.05,143.8
,Nifty Next 50,     34808.95,     34946.45,     34958.60,     34201.10,     34624.10,-184.85
,Nifty Bank,     35496.65,     35544.25,     35544.25,     34430.65,     35182.55,-314.1
,NIFTY MIDCAP 100,     24115.60,     24238.65,     24239.80,     23654.70,     23952.30,-163.3
,Nifty 500,     12593.90,     12623.05,     12624.30,     12364.95,     12510.15,-83.75
,Nifty 100,     15140.15,     15163.25,     15165.40,     14856.30,     15040.85,-99.3
,Nifty Midcap 50,      6964.75,      7004.20,      7004.20,      6812.75,      6926.95,-37.8
,Nifty Realty,       349.35,       351.60,       351.60,       342.70,       347.95,-1.4
,Nifty Infra,      4232.35,      4249.90,      4251.55,      4147.20,      4202.35,-30
,Nifty Energy,     19318.30,     19440.15,     19440.85,     19005.75,     19322.90,4.6
,Nifty FMCG,     33068.50,     33172.60,     33179.80,     32720.00,     33058.85,-9.65
,Nifty MNC,     16131.55,     16203.85,     16203.85,     15951.20,     16038.40,-93.15
,Nifty Pharma,     12184.25,     12213.75,     12215.15,     11848.30,     12024.50,-159.75
,Nifty PSE,      3296.35,      3310.70,      3310.70,      3250.75,      3300.85,4.5
,Nifty PSU Bank,      2311.90,      2326.95,      2326.95,      2252.95,      2315.65,3.75
,Nifty Serv Sector,     21249.95,     21248.50,     21250.95,     20832.05,     21096.95,-153
,India VIX,21.7075,21.7075,22.9325,20.9950,21.2275,-0.4800
,Nifty Auto,     10383.90,     10446.75,     10450.20,     10178.25,     10335.10,-48.8
,Nifty Metal,      3840.20,      3845.50,      3890.35,      3785.05,      3880.05,39.85
,Nifty Media,      1715.20,      1720.00,      1721.00,      1666.65,      1690.55,-24.65
,NIFTY SMLCAP 100,      8482.90,      8530.35,      8536.15,      8341.05,      8416.10,-66.8
,Nifty 200,      7839.75,      7855.15,      7855.95,      7692.55,      7788.10,-51.65
,Nifty Div Opps 50,      3071.95,      3078.85,      3079.85,      3040.15,      3074.05,2.1
,Nifty Commodities,      4469.10,      4491.25,      4491.50,      4397.00,      4476.25,7.15
,Nifty Consumption,      5910.45,      5938.25,      5938.35,      5831.80,      5875.85,-34.6
,Nifty Fin Service,     16506.35,     16518.30,     16518.30,     16056.20,     16301.25,-205.1
,Nifty50 Div Point,       110.23,       112.66,       112.66,       112.66,       112.66,2.43
,Nifty100 Liq 15,      3772.40,      3782.95,      3782.95,      3683.35,      3748.55,-23.85
,Nifty CPSE,      1890.05,      1893.05,      1894.65,      1861.45,      1888.05,-2
,Nifty GrowSect 15,      7182.45,      7191.15,      7191.15,      7023.85,      7105.60,-76.85
,Nifty50 PR 2x Lev,      6907.45,      6921.60,      6921.60,      6643.65,      6812.35,-95.1
,Nifty50 PR 1x Inv,       291.65,       291.40,       297.30,       291.40,       293.70,2.05
,Nifty50 TR 2x Lev,      9211.45,      9233.30,      9233.30,      8862.65,      9087.60,-123.85
,Nifty50 TR 1x Inv,       252.70,       252.40,       257.50,       252.40,       254.40,1.7
,Nifty50 Value 20,      7410.35,      7414.45,      7432.20,      7330.00,      7415.30,4.95
,Nifty Mid Liq 15,      5886.25,      5920.80,      5920.80,      5756.95,      5826.95,-59.3
,Nifty Pvt Bank,     19033.90,     19058.15,     19058.15,     18445.40,     18828.60,-205.3
,NIFTY100 Qualty30,      3361.40,      3362.75,      3363.60,      3318.15,      3348.20,-13.2
,Nifty GS 8 13Yr,      2200.56,      2200.94,      2201.29,      2197.88,      2201.09,.53
,Nifty GS 10Yr,      2001.42,      2001.75,      2006.60,      2000.48,      2006.60,5.18
,Nifty GS 10Yr Cln,       941.24,       941.24,       943.56,       940.63,       943.56,2.32
,Nifty GS 4 8Yr,      2356.13,      2356.49,      2357.87,      2355.84,      2357.87,1.74
,Nifty GS 11 15Yr,      2349.71,      2350.14,      2350.14,      2344.90,      2348.97,-.74
,Nifty GS 15YrPlus,      2594.47,      2594.96,      2594.96,      2594.96,      2594.96,.49
,Nifty GS Compsite,      2247.40,      2247.78,      2248.25,      2244.97,      2248.20,.8

,ADVANCES,691
,DECLINES,1316
,UNCHANGED,74

,Total securities that have hit their price bands today,397

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,AXISBANK,EQ,       750.60,       744.40,-0.83,1641.44
,RKFORGE,EQ,       534.85,                219447176.30,401446
,RMCL,BE,         2.45,                    70055.80,28529
,RMDRIP,SM,        22.35,                  2393600.00,108000
,RML,EQ,       403.80,                 17702132.40,43669
,RNAVAL,BZ,         3.35,                  3444557.25,1021892
,ROHITFERRO,BE,         2.40,                      360.00,150
,ROHLTD,EQ,        70.55,                  4451072.30,63130
,ROLLT,BE,         3.20,                    71504.75,22241
,ROLTA,EQ,         4.05,                  2711153.15,673734
,ROML,BE,       120.15,                   649654.60,5425
,ROSSARI,EQ,       975.35,                 35523600.50,36398
,ROSSELLIND,EQ,       115.80,                  1322456.45,11389
,ROUTE,EQ,      1618.00,                586623689.75,364247
,RPGLIFE,EQ,       392.60,                 10130312.55,25737
,RPOWER,EQ,         5.20,                278998381.80,55285403
,RPPINFRA,EQ,        69.15,                  4649077.20,67176
,RPPL,SM,        94.00,                   192000.00,2000
,RPSGVENT,EQ,       378.60,                280401609.70,736205
,RSSOFTWARE,EQ,        27.05,                   810016.65,30121
,RSWM,EQ,       194.75,                 17359280.90,92298
,RSYSTEMS,EQ,       115.95,                  2885362.20,24836
,RTNINFRA,EQ,         6.45,                  4132713.70,623700
,RTNPOWER,EQ,         2.75,                 27095438.65,9913830
,RUBYMILLS,EQ,       179.35,                   555923.70,3086
,RUCHI,EQ,       704.95,                 14657368.95,20700
,RUCHINFRA,BE,         6.50,                   913839.45,139993
,RUCHIRA,EQ,        69.40,                  2815707.75,40579
,RUPA,EQ,       333.65,                104564366.60,319379
,RUSHIL,EQ,       260.70,                 19815931.95,78712
,RVHL,EQ,        20.20,                  1115465.30,54554
,RVNL,EQ,        30.75,                 91995535.15,2994571
,S&SPOWER,BE,        20.10,                  4239695.20,201958
,SABEVENTS,EQ,         1.20,                    10052.90,8310
,SABTN,EQ,         1.60,                     9948.80,6218
,SADBHAV,EQ,        72.25,                 54373400.80,749459
,SADBHIN,EQ,        23.60,                 13926759.70,586490
,SAFARI,EQ,       663.95,                  7001843.15,10534
,SAGARDEEP,EQ,        39.25,                   109008.25,2806
,SAGCEM,EQ,       739.05,                 19483334.10,26648
,SAIL,EQ,        76.70,               4605071472.50,61678556
,SAKAR,EQ,        94.50,                  8437655.45,89196
,SAKHTISUG,EQ,         9.55,                   798273.10,83824
,SAKSOFT,EQ,       364.75,                 12652152.30,34350
,SAKUMA,EQ,         5.25,                  1081695.30,208146
,SALASAR,EQ,       370.95,                 11060798.60,29674
,SALONA,EQ,        92.65,                   166626.95,1794
,SALSTEEL,EQ,         3.70,                   221566.95,59250
,SALZERELEC,EQ,       128.80,                 17395883.65,134342
,SAMBHAAV,EQ,         2.60,                    27755.45,10727
,SANCO,EQ,        11.50,                  2667319.30,241679
,SANDESH,EQ,       712.15,                  1032864.65,1447
,SANDHAR,EQ,       209.60,                 22954779.05,110170
,SANGAMIND,BE,        79.45,                   772296.70,9910
,SANGHIIND,EQ,        42.90,                 79012833.00,1856503
,SANGHVIFOR,BE,        24.25,                   184037.00,7660
,SANGHVIMOV,EQ,       113.80,                  9904284.25,87543
,SANGINITA,EQ,        23.50,                  1076930.90,44675
,SANOFI,EQ,      8294.95,                 86794320.10,10499
,SANWARIA,BZ,          .75,                  3471946.60,4647015
,SARDAEN,EQ,       396.00,                108546745.10,281420
,SAREGAMA,EQ,      1639.80,                181658055.90,112794
,SARLAPOLY,EQ,        26.95,                  6981096.50,256952
,SARVESHWAR,SM,        16.50,                   106720.00,6400
,SASKEN,EQ,       863.50,                 11895950.70,13818
,SASTASUNDR,EQ,       128.80,                  3268737.40,25499
,SATHAISPAT,BE,         3.00,                    30903.00,10301
,SATIA,EQ,        83.55,                  3044864.40,36465
,SATIN,EQ,       102.95,                 28642820.20,279749
,SBIETFIT,EQ,       260.89,                   753752.87,2893
,SBIETFPB,EQ,       187.23,                   526616.13,2819
,SBIETFQLTY,EQ,       126.43,                   331497.89,2618
,SC5RG,MF,        10.61,                   806349.39,75999
,SCAPDVR,BE,         1.80,                    66378.45,36868
,SCHAEFFLER,EQ,      5259.25,                 86251164.75,16369
,SCHAND,EQ,       124.40,                104332597.40,870391
,SCHNEIDER,EQ,        99.95,                 69629065.80,695657
,SCI,EQ,       123.50,                891204571.95,7309805
,SDBL,EQ,        32.30,                  4332500.85,135255
,SEAMECLTD,EQ,       447.30,                 33784130.20,73520
,SECURKLOUD,EQ,        84.95,                  1663775.85,19535
,SELAN,EQ,       130.05,                 11837719.00,91654
,SEPOWER,BE,         4.25,                    64232.65,15303
,SEQUENT,EQ,       223.25,                157093131.05,696577
,SERVOTECH,SM,        20.00,                    80000.00,4000
,SESHAPAPER,EQ,       158.25,                  5054085.40,31692
,SETCO,EQ,        17.05,                  2994970.55,175548
,SETF10GILT,EQ,       199.60,                    43787.29,218
,SETFGOLD,EQ,      4014.65,                973699221.20,242860
,SETFNIF50,EQ,       154.22,                 61610764.66,401891
,SETFNIFBK,EQ,       350.40,                 23872397.92,68783
,SETFNN50,EQ,       359.26,                  5887666.77,16494
,SETUINFRA,BE,          .85,                   172348.95,210840
,SEYAIND,EQ,        61.50,                  4250618.00,69772
,SEZAL,BZ,         6.35,                    23456.90,3694
,SFL,EQ,      2113.50,                 31965096.55,15384
,SGBAPR28I,GB,      4653.65,                   568447.90,121
,SGBAUG24,GB,      4663.14,                   525462.87,112
,SGBAUG27,GB,      4611.00,                   162085.94,35
,SGBAUG28V,GB,      4733.15,                  9580818.67,2024
,SGBDC27VII,GB,      4616.66,                    78128.43,17
,SGBDEC2513,GB,      4600.00,                    59620.00,13
,SGBDEC25XI,GB,      4695.00,                    28257.00,6
,SGBDEC26,GB,      4590.10,                    37188.50,8
,SGBFEB24,GB,      4625.65,                   455497.15,98
,SGBFEB27,GB,      4600.00,                   275933.00,60
,SGBFEB28IX,GB,      4601.00,                   100654.00,22
,SGBFEB29XI,GB,      4700.00,                   336052.00,72
,SGBJ28VIII,GB,      4601.00,                     4601.00,1
,SGBJAN27,GB,      4750.00,                    14250.00,3
,SGBJAN29IX,GB,      4698.35,                  1092948.06,234
,SGBJAN29X,GB,      4631.56,                   489980.37,105
,SGBJUL25,GB,      4590.90,                   105700.00,23
,SGBJUL27,GB,      4600.04,                   124644.00,27
,SGBJUL28IV,GB,      4629.00,                  2361923.51,510
,SGBJUN27,GB,      4591.50,                  6107301.25,1334
,SGBJUN28,GB,      4645.49,                  2058491.05,444
,SGBMAR24,GB,      4670.00,                    27930.00,6
,SGBMAR25,GB,      4601.83,                   342077.97,74
,SGBMAR28X,GB,      4600.00,                   128807.97,28
,SGBMAY25,GB,      4597.63,                   363825.50,79
,SGBMAY26,GB,      4595.00,                  3703118.20,810
,SGBMAY28,GB,      4628.16,                   819929.45,177
,SGBN28VIII,GB,      4743.17,                  1750037.50,368
,SGBNOV23,GB,      4649.64,                   200438.05,43
,SGBNOV24,GB,      4618.34,                   341976.60,74
,SGBNOV25IX,GB,      4601.00,                    73616.00,16
,SGBNOV25VI,GB,      4600.00,                     9203.00,2
,SGBNOV26,GB,      4580.00,                     4580.00,1
,SGBOC28VII,GB,      4672.00,                   448730.00,96
,SGBOCT25,GB,      4607.45,                  2319471.78,507
,SGBOCT25IV,GB,      4705.00,                    89285.00,19
,SGBOCT25V,GB,      4745.00,                     4745.00,1
,SGBOCT26,GB,      4605.00,                     9175.00,2
,SGBOCT27,GB,      4555.45,                    27516.30,6
,SGBOCT27VI,GB,      4600.00,                    41448.00,9
,SGBSEP24,GB,      4680.00,                   131946.00,28
,SGBSEP27,GB,      4616.00,                    45756.00,10
,SGBSEP28VI,GB,      4660.87,                  2956617.86,634
,SGL,EQ,         9.00,                    26464.85,2935
,SHAHALLOYS,EQ,         8.55,                    18613.35,2177
,SHAKTIPUMP,EQ,       538.20,                 43502717.65,80805
,SHALBY,EQ,       104.80,                 10423436.15,99196
,SHALPAINTS,EQ,        89.55,                  7279415.95,81300
,SHANKARA,EQ,       436.65,                 49767657.65,114225
,SHANTI,SM,        24.00,                   213750.00,9000
,SHANTIGEAR,EQ,       126.10,                  4101218.60,32386
,SHARDACROP,EQ,       301.75,                 33361615.90,111278
,SHARDAMOTR,EQ,      2060.60,                  4920164.00,2376
,SHAREINDIA,EQ,       270.55,                  3503364.15,12952
,SHARIABEES,EQ,       361.88,                    62353.89,172
,SHEMAROO,EQ,        73.75,                  4420350.50,59674
,SHIL,EQ,       261.40,                 24195494.85,93525
,SHILPAMED,EQ,       356.95,                 90620533.00,253142
,SHIRPUR-G,BZ,         6.85,                   109755.20,15626
,SHIVAMAUTO,EQ,        19.80,                  1073051.90,53984
,SHIVAMILLS,BE,        49.45,                    86854.45,1794
,SHIVATEX,EQ,       149.50,                   507397.75,3312
,SHK,EQ,       121.40,                 43820086.35,362347
,SHOPERSTOP,EQ,       232.20,                 41603246.45,179251
,SHRADHA,BE,        46.85,                     8011.35,171
,SHREDIGCEM,EQ,        68.75,                194315783.55,2882489
,SHREEPUSHK,EQ,       138.25,                 11031138.15,81225
,SHREERAMA,EQ,        11.45,                  1558248.20,138320
,SHRENIK,EQ,         2.10,                 14154836.50,6654361
,SHREYANIND,EQ,        92.15,                  3934534.05,43320
,SHREYAS,EQ,        82.10,                 12804024.85,159495
,SHRIPISTON,BE,       758.00,                   150077.25,198
,SHRIRAMCIT,EQ,      1503.35,                  6737849.95,4476
,SHRIRAMEPC,EQ,         4.45,                  1890546.90,421331
,SHUBHLAXMI,SM,        13.55,                    13550.00,1000
,SHYAMCENT,EQ,         5.55,                   991398.75,181697
,SHYAMTEL,BE,        15.80,                  1357284.95,89199
,SICAGEN,EQ,        14.60,                   176900.30,12301
,SICAL,EQ,        12.70,                 18937945.50,1473484
,SIGIND,EQ,        33.50,                  1462936.80,44017
,SIGMA,SM,        44.00,                   267000.00,6000
,SIKKO,SM,        24.30,                   194400.00,8000
,SIL,BE,        20.45,                    18977.60,928
,SILGO,EQ,        46.60,                  1247320.40,26351
,SILINV,EQ,       220.05,                  3607057.60,16534
,SILLYMONKS,BE,        22.00,                   157682.45,7590
,SILVERTUC,SM,        94.00,                   188000.00,2000
,SIMBHALS,EQ,         7.80,                   312879.95,40091
,SIMPLEXINF,EQ,        35.30,                  5778505.70,162919
,SINTERCOM,EQ,        88.85,                    56935.55,629
,SINTEX,BE,         4.05,                  3659879.70,903674
,SIRCA,BE,       332.00,                  5139392.30,15585
,SIS,EQ,       420.35,                 54408224.45,129466
,SITINET,EQ,          .90,                  2420458.70,2766642
,SIYSIL,EQ,       214.35,                  8712207.90,40709
,SJVN,EQ,        26.15,                 59673194.25,2276621
,SKFINDIA,EQ,      2228.95,                 49318012.80,22175
,SKIL,BE,         3.00,                   131227.55,44759
,SKIPPER,EQ,        58.60,                  4089476.40,69731
,SKMEGGPROD,EQ,        49.90,                  2836095.85,56340
,SKSTEXTILE,SM,        24.60,                    48000.00,2000
,SMARTLINK,EQ,        91.10,                  1546835.80,16941
,SMCGLOBAL,EQ,        77.10,                  9396108.90,119498
,SMLISUZU,EQ,       470.75,                 12001438.90,25487
,SMPL,BZ,          .15,                     1125.50,7170
,SMSLIFE,EQ,       528.25,                  1207719.25,2280
,SMSPHARMA,EQ,       129.45,                  9106743.70,70165
,SNOWMAN,EQ,        52.95,                133751724.10,2526127
,SOBHA,EQ,       443.70,                 45990082.75,103822
,SOFTTECH,SM,        93.30,                   762480.00,8000
,SOLARA,EQ,      1285.25,                 57686446.65,45491
,SOLARINDS,EQ,      1324.25,                 25800371.55,19523
,SOLEX,SM,        33.50,                   677500.00,20000
,SOMANYCERA,EQ,       425.40,                 65676569.25,154111
,SOMATEX,BE,         8.90,                    91269.50,10255
,SOMICONVEY,BE,        31.65,                   176021.20,5525
,SONAHISONA,SM,        10.10,                   101000.00,10000
,SONAMCLOCK,SM,        59.90,                   539550.00,9000
,SONATSOFTW,EQ,       501.75,                228243705.90,454172
,SORILINFRA,EQ,       169.00,                 14122832.40,82933
,SOTL,EQ,      1004.90,                  8587416.50,8528
,SOUTHBANK,EQ,         9.30,                151872504.90,16355190
,SOUTHWEST,EQ,        42.30,                   520863.45,12295
,SPAL,EQ,       172.10,                  3447621.00,19991
,SPANDANA,EQ,       613.30,                 26280576.80,42827
,SPARC,EQ,       162.85,                 41885387.25,256429
,SPCENET,BE,         1.80,                   345120.00,188900
,SPECIALITY,EQ,        46.60,                  2572916.80,55448
,SPENCERS,EQ,        76.85,                 19511639.50,253625
,SPENTEX,BZ,          .75,                      950.30,1241
,SPIC,EQ,        33.90,                 83864835.95,2523154
,SPICEJET,EQ,        80.75,                458899419.75,5661477
,SPLIL,EQ,        34.60,                  1844776.50,52228
,SPMLINFRA,EQ,        12.00,                   157454.70,12987
,SPTL,EQ,         4.20,                 10414794.60,2479713
,SPYL,EQ,          .40,                  1153924.05,2865604
,SREEL,EQ,       146.30,                  1748569.05,11934
,SREIBNPNCD,NU,       390.00,                    19500.00,50
,SREIBNPNCD,NY,       480.50,                    60543.60,126
,SREIBNPNCD,Y5,       465.00,                    51152.00,110
,SREIBNPNCD,NP,       350.00,                     5250.00,15
,SREIBNPNCD,YA,       393.60,                     5116.80,13
,SREIBNPNCD,Y9,       390.00,                   156750.00,425
,SREIBNPNCD,NL,       428.00,                    47240.00,110
,SREIBNPNCD,Y8,       355.00,                    28417.00,75
,SREIBNPNCD,NW,       800.10,                     8001.00,10
,SREIBNPNCD,NX,       398.08,                    63728.85,160
,SREIBNPNCD,NJ,       422.00,                     6330.00,15
,SREIBNPNCD,Y4,       450.65,                     4506.50,10
,SREIBNPNCD,NZ,       492.00,                   636969.00,1303
,SREINFRA,EQ,         6.75,                  9335329.50,1377713
,SRF,EQ,      5534.65,                611849670.60,110711
,SRHHYPOLTD,EQ,       279.70,                  6747833.45,24179
,SRIPIPES,EQ,       176.65,                 35156254.45,200350
,SRIRAM,SM,        16.00,                   574500.00,36000
,SRPL,BE,        31.00,                     2082.60,67
,SRTRANSFIN,EQ,      1276.60,               4742996105.50,3701236
,SRTRANSFIN,ZK,      1060.01,                   106001.00,100
,SRTRANSFIN,YO,      1008.50,                   113669.50,112
,SRTRANSFIN,YT,      1246.99,                   246805.02,198
,SRTRANSFIN,Z1,      1205.00,                   360329.65,300
,SRTRANSFIN,YB,      1023.00,                   122540.00,120
,SRTRANSFIN,YI,      1049.00,                     3073.00,3
,SRTRANSFIN,Z8,      1051.00,                   784710.00,755
,SRTRANSFIN,YS,      1070.00,                   133750.00,125
,SRTRANSFIN,YK,      1064.15,                   127802.95,120
,SRTRANSFIN,YM,      1263.50,                   157937.50,125
,SRTRANSFIN,YR,      1050.00,                    95699.00,91
,SRTRANSFIN,YH,      1003.19,                   267826.25,267
,SRTRANSFIN,YJ,      1059.35,                   857520.25,810
,SRTRANSFIN,YV,      1010.25,                   238438.76,235
,SRTRANSFIN,YQ,      1040.00,                   520200.00,500
,SRTRANSFIN,Z2,      1225.00,                    61250.00,50
,SRTRANSFIN,YL,      1063.00,                   117000.24,110
,SRTRANSFIN,YG,      2066.21,                    20662.10,10
,SRTRANSFIN,YX,      1012.20,                   267906.81,265
,SRTRANSFIN,Y9,      1078.11,                   644905.65,605
,SSINFRA,SM,         9.70,                    29100.00,3000
,SSWL,EQ,       738.25,                 27409944.25,36969
,STAMPEDE,BE,          .80,                    86656.00,108320
,STAR,EQ,       844.80,                244170160.20,292949
,STARCEMENT,EQ,       100.20,                 16425400.70,164926
,STARPAPER,EQ,       126.55,                 18407523.70,145789
,STCINDIA,EQ,        86.05,                  5657255.85,65920
,STEELCITY,EQ,        36.90,                   259080.30,7044
,STEELXIND,EQ,        54.35,                  5824910.15,107103
,STEL,BE,        82.15,                  1218198.70,14630
,STERTOOLS,EQ,       214.80,                  1579703.50,7339
,STINDIA,BZ,         3.20,                      640.00,200
,STLTECH,EQ,       217.35,                 76765857.75,354547
,STOVEKRAFT,EQ,       469.80,                 98316690.05,208677
,SUBCAPCITY,BE,        21.00,                     1860.20,88
,SUBEXLTD,EQ,        37.05,                327742268.45,8882501
,SUBROS,EQ,       317.95,                 21351126.40,67446
,SUDARSCHEM,EQ,       549.35,                 75761337.25,137075
,SUMEETINDS,BE,         2.95,                   142056.10,48384
,SUMICHEM,EQ,       272.50,                205166716.00,740218
,SUMIT,EQ,         9.50,                   540299.50,55364
,SUMMITSEC,EQ,       559.45,                  3703381.15,6615
,SUNCLAYLTD,EQ,      3223.90,                  9583014.75,2960
,SUNDARAM,EQ,         1.25,                   278518.10,222027
,SUNDARMFIN,EQ,      2649.90,                 85485959.05,32161
,SUNDARMHLD,EQ,        79.90,                  7917333.40,99354
,SUNDRMBRAK,EQ,       348.55,                   453770.10,1299
,SUNDRMFAST,EQ,       758.30,                264390188.50,349267
,SUNFLAG,EQ,        63.60,                 30554531.90,490747
,SUNTECK,EQ,       337.10,                 71275240.60,214255
,SUNTV,EQ,       482.30,                667600750.25,1392144
,SUPERHOUSE,EQ,       130.40,                  3818220.65,29448
,SUPERSPIN,EQ,         5.00,                   632097.15,128636
,SUPPETRO,EQ,       434.70,                 40037952.90,92208
,SUPRAJIT,EQ,       287.85,                 32680210.20,113168
,SUPREMEENG,EQ,        31.55,                  3146929.90,99790
,SUPREMEIND,EQ,      1994.20,                177597704.15,89056
,SUPREMEINF,BZ,        13.80,                    59653.80,4523
,SURANASOL,BE,         9.75,                   437582.35,45232
,SURANAT&P,EQ,         4.55,                   212754.95,46312
,SURYALAXMI,EQ,        33.10,                   438569.35,13171
,SURYAROSNI,EQ,       373.00,                 56302898.00,153159
,SUTLEJTEX,EQ,        44.30,                  6896332.40,154617
,SUULD,BE,       207.15,                  4839952.50,23388
,SUVEN,EQ,        80.40,                 30301502.05,375708
,SUVENPHAR,EQ,       482.65,                 71448220.20,151040
,SUZLON,EQ,         5.60,                 91677099.50,16406810
,SWANENERGY,EQ,       141.45,                 19534298.25,136867
,SWARAJENG,EQ,      1353.65,                 11667056.00,8628
,SWELECTES,EQ,       213.30,                  8339385.70,39614
,SWSOLAR,EQ,       277.20,                710072286.40,2617260
,SYMPHONY,EQ,      1321.75,                 36750786.85,27788
,SYNCOM,BZ,         2.40,                   322680.45,133252
,SYNGENE,EQ,       541.00,                168907451.65,310057
,TAINWALCHM,EQ,        63.15,                   375280.95,5896
,TAJGVK,EQ,       120.90,                 16408635.95,135388
,TAKE,EQ,        55.90,                 99353309.60,1785369
,TALBROAUTO,EQ,       234.65,                 10113017.65,43522
,TALWALKARS,BZ,         1.50,                    43293.00,28862
,TALWGYM,BZ,         1.00,                    52108.85,51486
,TANLA,EQ,       957.80,                177266164.75,183453
,TANTIACONS,BZ,         1.75,                     3510.50,2006
,TARAPUR,BE,         3.20,                     2489.60,778
,TARC,EQ,        32.20,                 10039381.20,309359
,TARMAT,EQ,        49.70,                  1561236.15,30903
,TASTYBITE,EQ,     14232.35,                 35549225.60,2499
,TATACAPHSG,NA,      1070.10,                    10701.00,10
,TATACAPHSG,N4,      1050.00,                   213590.00,203
,TATACAPHSG,N2,      1035.05,                    34154.10,33
,TATACAPHSG,NB,      1099.90,                     7699.30,7
,TATACAPHSG,N8,      1041.42,                   125000.00,120
,TATACHEM,EQ,       782.25,               4414856917.60,5671286
,TATACOFFEE,EQ,       128.30,                193695345.50,1508149
,TATACOMM,EQ,      1293.80,                549433993.55,421247
,TATAELXSI,EQ,      2716.45,               1036256823.80,379824
,TATAINVEST,EQ,      1117.80,                 20299576.40,18276
,TATAMETALI,EQ,       777.40,                169026936.15,220851
,TATAMTRDVR,EQ,       135.75,                357932127.55,2667601
,TATAPOWER,EQ,       111.55,              11231459954.40,101456890
,TATASTLBSL,EQ,        47.35,                192126203.65,4116758
,TATASTLLP,EQ,       697.00,                 33555382.65,48688
,TBZ,EQ,        76.20,                 15267583.45,201633
,TCFSL,NB,      1048.28,                   864462.12,825
,TCFSL,NN,      1141.00,                    35430.00,31
,TCFSL,NH,      1062.00,                   686666.00,654
,TCFSL,NF,      1150.00,                    18400.00,16
,TCFSL,ND,      1084.08,                  2478889.10,2288
,TCFSL,NL,      1117.05,                    27926.25,25
,TCI,EQ,       243.35,                 15930001.95,65326
,TCIDEVELOP,EQ,       308.95,                   632474.25,2025
,TCIEXP,EQ,       905.45,                 43476829.05,48627
,TCIFINANCE,EQ,         5.90,                    68888.10,11585
,TCNSBRANDS,EQ,       530.30,                 21090119.95,40017
,TCPLPACK,EQ,       410.05,                  2760774.60,6689
,TDPOWERSYS,EQ,       142.55,                  9256045.35,62747
,TEAMLEASE,EQ,      3599.30,                 89077183.60,24791
,TECHNOE,EQ,       290.20,                 14083886.25,47798
,TECHNOFAB,BZ,         7.75,                    18677.50,2410
,TEJASNET,EQ,       185.80,                 76097369.15,408436
,TEMBO,SM,       105.20,                  5446900.00,50000
,TERASOFT,EQ,        38.45,                  1748466.85,44968
,TEXINFRA,EQ,        70.95,                  3092410.35,43786
,TEXMOPIPES,EQ,        29.85,                 10832831.65,364220
,TEXRAIL,EQ,        29.55,                 17572074.65,593238
,TFCILTD,EQ,        67.95,                 78272526.15,1153286
,TFL,BE,         2.40,                     2068.70,869
,TGBHOTELS,EQ,         4.80,                   244149.30,50830
,THANGAMAYL,EQ,       614.95,                 30438181.75,49688
,THEINVEST,EQ,        90.65,                  4103303.35,44121
,THEJO,SM,      1200.00,                   599000.00,500
,THEMISMED,EQ,       300.55,                  3107804.10,10229
,THERMAX,EQ,      1391.50,                 40361850.85,29125
,THIRUSUGAR,BZ,         7.50,                     1883.65,250
,THOMASCOOK,EQ,        53.90,                 36300689.10,677284
,THOMASCOTT,BE,         7.45,                     8638.95,1175
,THYROCARE,EQ,       867.70,                 78375477.60,89441
,TI,EQ,        29.90,                  7590540.70,252373
